Compound,InChIKey,CAS,Constants,Types,Temperature
"2-amino-9H-pyrido[2,3-b]indole",FJTNLJLPLJDTRM-UHFFFAOYSA-N,26148-68-5,['2.5E+08'],['Q'],[25.0]
carbazole,UJOBWOGCFQCDNV-UHFFFAOYSA-N,86-74-8,"['9.4E+01', '9.3E+01', '6.6E-02', '6.6E-02', '6.3E-02', '2.0E+01', '6.3E+01', '1.1E+02', '8.5E+01']","['L', 'M', 'V', 'V', 'V', 'Q', 'Q', 'Q', '?']","[4026.85, 4026.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
$o$-phenanthroline,DGEZNRSVGBDHLK-UHFFFAOYSA-N,66-71-7,"['1.1E+05', '9.9E+03', '1.2E+05', '4.4E+02']","['Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
benzyladenine,NWBJYWHLCVSVIJ-UHFFFAOYSA-N,1214-39-7,"['1.1E+08', '1.1E-01']","['V', '?']","[25.0, 25.0]"
diquat,SYJFEGQWDCRVNX-UHFFFAOYSA-N,2764-72-9,['2.8E+05'],['?'],[25.0]
MEIQ,GMGWMIJIGUYNAY-UHFFFAOYSA-N,77094-11-2,['2.5E+07'],['Q'],[25.0]
pyrimethanil,ZLIBICFPKPWGIZ-UHFFFAOYSA-N,53112-28-0,"['3.4E+02', '2.8E+02', '2.8E+02', '9.2E+02', '3.9E+00', '2.8E+02']","['M', 'V', 'X', 'Q', 'Q', '?']","[14726.85, 25.0, 25.0, 25.0, 25.0, 25.0]"
paraquat,INFDPOAKFNIJBF-UHFFFAOYSA-N,4685-14-7,['2.4E+08'],['V'],[25.0]
"N,N-dimethyltryptamine",DMULVCHRPCFFGV-UHFFFAOYSA-N,61-50-7,['1.5E+04'],['Q'],[25.0]
benzo[$f$]quinoline,HCAUQPZEWLULFJ-UHFFFAOYSA-N,85-02-9,"['5.7E+01', '1.0E+02', '1.0E+02', '3.6E+00']","['V', 'V', 'V', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"2,6-bis-(1,1-dimethylethyl)-pyridine",UWKQJZCTQGMHKD-UHFFFAOYSA-N,585-48-8,"['8.0E-04', '2.8E-01']","['M', 'V']","[6626.85, 25.0]"
PHIP,UQVKZNNCIHJZLS-UHFFFAOYSA-N,105650-23-5,['3.5E+07'],['Q'],[25.0]
"N,N'-diphenylguanidine",OWRCNXZUPFZXOS-UHFFFAOYSA-N,102-06-7,['1.4E+06'],['Q'],[25.0]
acridine,DZBUGLKDJFMEHC-UHFFFAOYSA-N,260-94-6,"['3.3E+01', '3.3E+01', '2.5E+01']","['V', 'V', 'Q']","[25.0, 25.0, 25.0]"
phenanthridine,RDOWQLZANAYVLL-UHFFFAOYSA-N,229-87-8,"['6.0E+02', '3.6E+00']","['V', 'Q']","[25.0, 25.0]"
mepanipyrim,CIFWZNRJIBNXRE-UHFFFAOYSA-N,110235-47-7,['6.0E+02'],['?'],[25.0]
cyprodinil,HAORKNGNJCEJBX-UHFFFAOYSA-N,121552-61-2,"['1.2E+02', '1.2E+02', '2.9E+03']","['V', 'V', 'Q']","[25.0, 25.0, 25.0]"
imiquimod,DOUYETYNHWVLEO-UHFFFAOYSA-N,99011-02-6,['1.2E+07'],['Q'],[25.0]
ametoctradin,GGKQIOFASHYUJZ-UHFFFAOYSA-N,865318-97-4,['2.4E+06'],['?'],[25.0]
ferimzone,GOWLARCWZRESHU-UHFFFAOYSA-N,89269-64-7,"['1.6E+05', '2.4E+02']","['V', 'Q']","[25.0, 25.0]"
benz[$c$]acridine,OAPPEBNXKAKQGS-UHFFFAOYSA-N,225-51-4,['3.7E+02'],['Q'],[25.0]
"6-pentyl-1,2,3,4,7,8,9,10-octahydrophenanthridine",FNUATPIDZQSFPD-UHFFFAOYSA-N,10594-03-3,"['4.5E-01', '2.0E+01', '6.2E+00', '2.2E-02']","['Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
2-diphenylmethylpiperidine,RWTNXJXZVGHMGI-UHFFFAOYSA-N,519-74-4,['6.6E+01'],['Q'],[25.0]
fenpropidin,MGNFYQILYYYUBS-UHFFFAOYSA-N,67306-00-7,"['7.1E+02', '1.1E+02', '9.9E-02', '9.5E-02', '9.3E-02']","['M', 'V', 'X', 'Q', '?']","[5926.85, 25.0, 25.0, 25.0, 25.0]"
"N,N-bis(2-ethylhexyl)-1H-1,2,4-triazole-1-methanamine",AVBBHCMDRGQBNW-UHFFFAOYSA-N,91273-04-0,['2.9E+01'],['?'],[25.0]
"7H-dibenzo[$c,g$]carbazole",STJXCDGCXVZHDU-UHFFFAOYSA-N,194-59-2,"['2.1E+03', '4.0E+03']","['V', 'Q']","[25.0, 25.0]"
porphyrin,RKCAIXNGYQCCAL-YYOYBPFYSA-N,101-60-0,['3.9E+05'],['Q'],[25.0]
"dibenz[$a,j$]acridine",ANUCHZVCBDOPOX-UHFFFAOYSA-N,224-42-0,['5.2E+03'],['Q'],[25.0]
"dibenz[$a,h$]acridine",JNCSIWAONQTVCF-UHFFFAOYSA-N,226-36-8,['5.2E+03'],['Q'],[25.0]
"1,3,5-tricyclohexylhexahydro-1,3,5-triazine",ZLLRUEJANKJPQE-UHFFFAOYSA-N,6281-14-7,"['1.7E-02', '4.0E+05', '1.2E+05', '1.5E+04']","['Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
cyano radical,JEVCWSUVFOYBFI-UHFFFAOYSA-N,2074-87-5,['7.8E-04'],['T'],[1126.85]
hydrogen cyanide,LELOWRISYMNNSU-UHFFFAOYSA-N,74-90-8,"['8.9E-02', '8.9E-02', '1.7E-01', '1.1E-01', '8.9E-02', '7.5E-02', '1.2E-01', '9.2E-02', '9.9E-02', '7.6E-02', '7.4E-02', '5.0E-02', '4.2E-02', '3.9E-02', '1.6E-01', '4.7E+00', '7.4E-02', '1.1E-01']","['L', 'L', 'L', 'L', 'M', 'M', 'M', 'R', 'T', 'X', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?']","[7926.85, 7926.85, 4126.85, 4726.85, 7926.85, 25.0, 25.0, 25.0, 3926.85, 2626.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
ethanenitrile,WEVYAHXRMPXWCK-UHFFFAOYSA-N,75-05-8,"['5.2E-01', '5.2E-01', '4.9E-01', '5.2E-01', '5.2E-01', '3.8E-01', '5.0E-01', '5.1E-01', '4.7E-01', '6.0E-01', '5.2E-01', '4.9E-01', '3.2E-01', '3.4E-01', '5.3E-01', '4.6E-01', '8.2E-02', '4.8E-01', '5.3E-01', '3.7E-02', '5.0E-01', '2.9E-01', '2.9E-01', '4.7E-01', '3.4E-01', '1.0E-01', '2.9E-01', '7.7E-01', '3.7E-01', '2.9E-01', '2.9E-01', '4.4E+00', '2.9E-02', '3.1E-01', '2.9E-01', '3.6E-01', '4.9E-01', '4.9E-01', '2.9E-01']","['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'V', 'R', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?', '?']","[3726.85, 3726.85, 4026.85, 3726.85, 3726.85, 3926.85, 3826.85, 3726.85, 3226.85, 6026.85, 3726.85, 25.0, 3026.85, 25.0, 3826.85, 25.0, 25.0, 3626.85, 3826.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
propanenitrile,FVSKHRXBFJPNKK-UHFFFAOYSA-N,107-12-0,"['3.4E-01', '2.4E-01', '4.3E-01', '3.3E-01', '1.8E-01', '2.5E-01', '1.9E-01', '2.6E-01', '3.1E-01', '3.1E-01', '1.7E-01', '3.5E-01', '1.0E-01', '5.0E-01', '2.6E-01', '2.9E-01', '5.6E-01', '2.4E-01', '2.7E-01', '2.6E-01', '2.9E-01', '2.7E-01']","['L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'V', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?']","[4226.85, 4526.85, 5926.85, 4326.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
butanenitrile,KVNRLNFWIYMESJ-UHFFFAOYSA-N,109-74-0,"['1.8E-01', '1.8E-01', '2.7E-01', '1.3E-01', '1.9E-01', '1.4E-01', '1.9E-01', '1.8E-01', '1.8E-01', '3.7E-01', '1.2E-01', '1.0E-01', '1.8E-01', '3.5E-01', '1.5E-01', '1.5E-01', '5.7E-02', '1.9E-02', '5.4E-01', '1.9E-01', '1.9E-01', '1.9E-01', '1.8E-01', '1.9E-01']","['L', 'L', 'M', 'M', 'M', 'M', 'M', 'X', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?']","[4826.85, 4826.85, 4826.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-methylpropanenitrile,LRDFRRGEGBBSRN-UHFFFAOYSA-N,78-82-0,"['1.1E-01', '1.0E-01', '9.4E-02', '1.8E-01', '1.9E-01']","['L', 'L', 'M', 'Q', 'Q']","[4926.85, 4526.85, 25.0, 25.0, 25.0]"
pentanenitrile,RFFFKMOABOFIDF-UHFFFAOYSA-N,110-59-8,"['1.6E-01', '1.4E-01', '1.4E-01', '1.6E-01', '2.7E-01', '1.3E-01', '1.5E-01', '4.1E-02', '1.5E-02', '1.5E-01']","['L', 'L', 'M', 'V', 'Q', 'Q', 'Q', 'Q', 'Q', '?']","[5826.85, 5226.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
hexanenitrile,AILKHAQXUAOOFU-UHFFFAOYSA-N,628-73-9,"['1.2E-01', '2.3E-01']","['L', 'Q']","[25.0, 25.0]"
heptanenitrile,SDAXRHHPNYTELL-UHFFFAOYSA-N,629-08-3,['1.6E-01'],['Q'],[25.0]
octanenitrile,YSIMAPNUZAVQER-UHFFFAOYSA-N,124-12-9,"['5.7E-02', '1.3E-01']","['L', 'Q']","[25.0, 25.0]"
nonanenitrile,PLZZPPHAMDJOSR-UHFFFAOYSA-N,2243-27-8,['1.0E-01'],['Q'],[25.0]
decanenitrile,HBZDPWBWBJMYRY-UHFFFAOYSA-N,1975-78-6,['8.0E-02'],['Q'],[25.0]
undecanenitrile,SZKKNEOUHLFYNA-UHFFFAOYSA-N,2244-07-7,['6.1E-02'],['Q'],[25.0]
cyclohexanecarbonitrile,VBWIZSYFQSOUFQ-UHFFFAOYSA-N,766-05-2,['7.3E-01'],['Q'],[25.0]
ethanedinitrile,JMANVNJQNLATNU-UHFFFAOYSA-N,460-19-5,"['1.8E-03', '1.8E-03', '1.9E-03', '1.9E+01', '1.8E-03', '2.6E-03', '2.9E-02', '1.9E-03', '1.8E-03']","['V', 'V', 'X', 'Q', 'Q', 'Q', 'Q', '?', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
pentanedinitrile,ZTOMUSMDRMJOTH-UHFFFAOYSA-N,544-13-8,['7.8E+02'],['L'],[7326.85]
hexanedinitrile,BTGRAWJCKBQKAO-UHFFFAOYSA-N,111-69-3,"['1.5E+03', '8.2E+03', '8.2E+03', '2.4E+02', '2.4E+02', '2.3E+01', '2.2E+03']","['L', 'V', 'V', 'V', 'V', 'Q', 'Q']","[7726.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-methylpentanedinitrile,FPPLREPCQJZDAQ-UHFFFAOYSA-N,4553-62-2,['3.3E+02'],['Q'],[25.0]
tetramethylbutanedinitrile,ZVQXQPNJHRNGID-UHFFFAOYSA-N,3333-52-6,['1.9E+02'],['Q'],[25.0]
2-propenenitrile,NLHHRLWOUZZQLW-UHFFFAOYSA-N,107-13-1,"['1.0E-01', '1.2E-01', '7.6E-02', '3.1E-02', '1.3E-01', '8.2E-02', '9.1E-02', '1.3E-01', '9.8E-02', '1.1E-01', '1.1E-01', '1.1E-01', '9.2E-02', '4.3E-01', '2.2E-02', '4.6E-01', '7.2E-02', '9.0E-02', '1.0E-01']","['L', 'M', 'M', 'M', 'V', 'V', 'V', 'V', 'V', 'X', 'C', 'C', 'Q', 'Q', 'Q', 'Q', '?', '?', '?']","[3626.85, 6526.85, 25.0, 25.0, 25.0, 3126.85, 25.0, 25.0, 25.0, 2526.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-butenenitrile,NKKMVIVFRUYPLQ-NSCUHMNNSA-N,4786-20-3,"['8.8E-02', '1.5E-01', '2.7E-01']","['V', 'Q', 'Q']","[25.0, 25.0, 25.0]"
3-butenenitrile,SJNALLRHIVGIBI-UHFFFAOYSA-N,109-75-1,['2.0E-01'],['L'],[4626.85]
2-methyl-2-propene nitrile,GYCMBHHDWRMZGG-UHFFFAOYSA-N,126-98-7,"['3.6E-02', '5.4E-02', '4.0E-02', '4.0E-02', '1.2E-01', '1.7E-02', '1.6E-01']","['L', 'M', 'V', 'V', 'Q', 'Q', 'Q']","[3926.85, 6426.85, 25.0, 25.0, 25.0, 25.0, 25.0]"
benzenenitrile,JFDZBHWFFUWGJE-UHFFFAOYSA-N,100-47-0,"['3.5E-01', '2.9E-01', '1.9E-01', '1.9E-01', '1.9E-01', '3.9E-01', '1.9E-01', '1.9E-01', '5.0E-01', '2.3E-01', '1.3E-01', '2.4E-01', '6.7E-01', '5.2E-01', '2.3E+00', '1.5E-01', '9.6E-01', '1.8E-02', '4.1E-01']","['L', 'M', 'V', 'V', 'V', 'V', 'V', 'V', 'R', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?']","[5326.85, 4826.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-pyridinecarbonitrile,FFNVQNRYTPFDDP-UHFFFAOYSA-N,100-70-9,['1.4E+02'],['Q'],[25.0]
"3,3'-iminobispropanenitrile",SBAJRGRUGUQKAF-UHFFFAOYSA-N,111-94-4,['2.0E+06'],['Q'],[25.0]
2-methylbenzonitrile,NWPNXBQSRGKSJB-UHFFFAOYSA-N,529-19-1,['7.6E-01'],['V'],[25.0]
3-methylbenzonitrile,BOHCMQZJWOGWTA-UHFFFAOYSA-N,620-22-4,"['1.7E-01', '3.4E-01', '8.8E-01', '1.8E-01']","['Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
benzeneacetonitrile,SUSQOBVLVYHIEX-UHFFFAOYSA-N,140-29-4,"['1.1E+00', '7.0E-02', '1.0E+01']","['L', 'V', 'Q']","[6526.85, 25.0, 25.0]"
"1,2-benzenedicarbonitrile",XQZYPMVTSDWCCE-UHFFFAOYSA-N,91-15-6,['2.0E+01'],['Q'],[25.0]
"3,7-dimethyl-2,6-octadienenitrile",HLCSDJLATUNSSI-JXMROGBWSA-N,5146-66-7,['2.9E-02'],['M'],[25.0]
"2,2'-azobis(2-methylbutyronitrile)",AVTLBBWTUPQRAY-UHFFFAOYSA-N,13472-08-7,"['4.5E+04', '9.2E+01', '1.5E+01', '4.4E-01']","['Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
formamide,ZHNUHDYFZUAESO-UHFFFAOYSA-N,75-12-7,"['7.1E+03', '7.0E+03', '2.3E+02']","['V', 'V', 'Q']","[25.0, 25.0, 25.0]"
methyl nitrite,BLLFVUPNHCTMSV-UHFFFAOYSA-N,624-91-9,['1.5E-01'],['Q'],[25.0]
urea,XSQUKJJJFZCRTK-UHFFFAOYSA-N,57-13-6,"['5.7E+06', '5.7E+06', '1.0E+07', '1.0E+07', '1.1E+05']","['V', 'V', 'V', 'V', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0]"
ethanolamine,HZAXFHJVJLSVMW-UHFFFAOYSA-N,141-43-5,"['4.2E+03', '6.0E+04', '1.1E+04', '9.7E+02']","['M', 'M', 'Q', '?']","[8026.85, 25.0, 25.0, 5526.85]"
"1,1'-azodiformamide",XOZUGNYVDXMRKW-UHFFFAOYSA-N,123-77-3,['1.2E+07'],['V'],[25.0]
ethyl nitrite,QQZWEECEMNQSTG-UHFFFAOYSA-N,109-95-5,['1.1E-01'],['Q'],[25.0]
"carbamic acid, methyl ester",GTCAXTIRRLKXRU-UHFFFAOYSA-N,598-55-0,['2.5E+02'],['Q'],[25.0]
acetaldoxime,FZENGILVLUJGJX-UHFFFAOYSA-N,107-29-9,['1.7E+00'],['Q'],[25.0]
ethanamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,60-35-5,"['5.3E+03', '2.8E+03', '2.8E+03', '3.8E+03', '9.0E+02', '2.8E+03', '3.7E+03', '4.2E+03', '5.1E+03', '2.2E+03', '2.2E+02']","['M', 'V', 'V', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
N-methylmethanamide,ATHHXGZTWNVVOU-UHFFFAOYSA-N,123-39-7,"['1.4E+03', '1.4E+03', '1.4E+03', '1.5E+03', '5.0E+02', '4.9E+02', '9.7E+01', '5.6E+02', '1.6E+02']","['L', 'L', 'L', 'M', 'V', 'V', 'Q', 'Q', 'Q']","[6926.85, 6926.85, 6926.85, 7326.85, 25.0, 25.0, 25.0, 25.0, 25.0]"
N-nitrosodimethylamine,UMFJAHHVKNCGLG-UHFFFAOYSA-N,62-75-9,"['3.9E+00', '3.9E+00', '2.9E-01', '4.1E+00', '6.1E+00', '5.2E+00', '3.0E-01', '9.5E+00', '3.6E+00', '3.0E-01']","['L', 'L', 'M', 'M', 'M', 'M', 'C', 'Q', 'Q', '?']","[25.0, 25.0, 12726.85, 25.0, 6126.85, 25.0, 25.0, 25.0, 25.0, 25.0]"
methylnitrosourea,ZRKWMRDKSOPRRS-UHFFFAOYSA-N,684-93-5,['1.9E+02'],['M'],[25.0]
ethanediamide,YIKSCQDJHCMVMK-UHFFFAOYSA-N,471-46-5,"['5.0E+05', '2.2E+06']","['V', 'Q']","[25.0, 25.0]"
nitrosoazetidine,SNKTZBNDUVWOAZ-UHFFFAOYSA-N,15216-10-1,['1.9E+02'],['M'],[25.0]
methylnitrosoacetamide,FFLFWNRFMZRFKU-UHFFFAOYSA-N,7417-67-6,['8.6E-02'],['M'],[25.0]
ethylnitrosocyanamide,LMIMSGCBKHFTDY-UHFFFAOYSA-N,38434-77-4,['2.6E-01'],['M'],[25.0]
2-propenamide,HRPVXLWXLXDGHG-UHFFFAOYSA-N,79-06-1,"['5.8E+03', '5.5E+03', '6.9E+03', '3.1E+04', '6.9E+03', '2.9E+04', '4.1E+02', '7.3E+02', '2.9E+04', '4.1E+03', '7.3E+03']","['V', 'V', 'V', 'V', 'V', 'X', 'Q', 'Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
methylvinylnitrosamine,AWZVYNHQGTZJIH-UHFFFAOYSA-N,4549-40-0,['2.7E+00'],['Q'],[25.0]
urethane,JOYRKODLDBILNP-UHFFFAOYSA-N,51-79-6,"['1.5E+02', '1.5E+02', '2.5E+01', '1.1E+01', '6.4E+01', '7.3E+01']","['V', 'V', 'Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
propanamide,QLNJFJADRCOGBJ-UHFFFAOYSA-N,79-05-0,['3.3E+03'],['T'],[8526.85]
"N,N-dimethylmethanamide",ZMXDDKWLCZADIW-UHFFFAOYSA-N,68-12-2,"['1.3E+02', '1.3E+02', '1.4E+02', '1.6E+02', '2.2E+02', '4.5E+01', '5.8E+00', '2.6E+01', '2.2E+02', '1.6E+02']","['L', 'L', 'L', 'M', 'R', 'Q', 'Q', 'Q', 'Q', 'Q']","[6326.85, 6326.85, 7426.85, 7226.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
N-methylacetamide,OHLUUHNLEMFGTQ-UHFFFAOYSA-N,79-16-3,"['2.1E+03', '2.1E+03', '3.2E+03', '2.3E+02', '2.3E+02', '3.8E+01', '1.4E+02']","['L', 'L', 'M', 'V', 'V', 'Q', 'Q']","[7326.85, 7326.85, 8626.85, 25.0, 25.0, 25.0, 25.0]"
N-methyl-N-nitrosoethanamine,RTDCJKARQCRONF-UHFFFAOYSA-N,10595-95-6,['6.9E+00'],['Q'],[25.0]
2-methoxyethanamine,ASUDFOJKTJLAIK-UHFFFAOYSA-N,109-85-3,['2.5E+01'],['T'],[7326.85]
2-(methylamino)ethanol,OPKOKAMJFNKNAS-UHFFFAOYSA-N,109-83-1,['9.0E+01'],['V'],[25.0]
1-amino-2-propanol,HXKKHQJGJAFBHI-UHFFFAOYSA-N,78-96-6,['4.2E+04'],['Q'],[25.0]
2-amino-1-propanol,BKMMTJMQCTUHRP-UHFFFAOYSA-N,6168-72-5,['1.3E+03'],['M'],[7426.85]
N-nitroso-N-methylurethane,CAUBWLYZCDDYEF-UHFFFAOYSA-N,615-53-2,"['3.9E-01', '1.8E+00', '1.8E+00', '1.6E+01', '3.2E+01']","['M', 'V', 'V', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0]"
dinitrosopiperazine,WNSYEWGYAFFSSQ-UHFFFAOYSA-N,140-79-4,['1.9E+02'],['M'],[25.0]
2-amino-3(methylamino)propionic acid,UJVHVMNGOZXSOZ-UHFFFAOYSA-N,16676-91-8,['2.9E+07'],['Q'],[25.0]
N-nitrosodiethanolamine,YFCDLVPYFMHRQZ-UHFFFAOYSA-N,1116-54-7,['2.0E+06'],['Q'],[25.0]
N-nitrosodiethylamine,WBNQDOYYEUMPFS-UHFFFAOYSA-N,55-18-5,"['1.2E-02', '5.6E+00', '1.4E+00', '7.1E-01', '7.5E+00', '3.9E+00', '2.6E+00', '2.7E+00']","['M', 'M', 'M', 'Q', 'Q', 'Q', 'Q', '?']","[3526.85, 6026.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
diethanolamine,ZBCBWPMODOFKDW-UHFFFAOYSA-N,111-42-2,"['3.3E+03', '2.6E+05', '2.5E+05', '1.0E+04']","['M', 'V', 'V', 'Q']","[1026.85, 25.0, 25.0, 25.0]"
diglycolamine,GIAFURWZWWWBQT-UHFFFAOYSA-N,929-06-6,['6.1E+03'],['M'],[3426.85]
3-methoxy-1-propanamine,FAXDZWQIWUSWJH-UHFFFAOYSA-N,5332-73-0,"['2.1E+01', '4.8E+01', '4.9E+01', '1.4E+01']","['M', 'T', 'Q', 'Q']","[25.0, 8426.85, 25.0, 25.0]"
2-amino-2-methyl-1-propanol,CBTVGIZVANVGBH-UHFFFAOYSA-N,124-68-5,"['2.1E+02', '7.0E+02', '1.8E+02', '9.3E+01']","['M', 'M', 'Q', 'Q']","[25.0, 8226.85, 25.0, 25.0]"
"N,N-dimethylaminoethanol",UEEJHVSXFDXPFK-UHFFFAOYSA-N,108-01-0,"['9.3E+01', '2.6E+01', '4.4E+02']","['M', 'V', 'Q']","[7626.85, 25.0, 25.0]"
2-[(2-aminoethyl)amino]ethanol,LHIJANUOQQMGNT-UHFFFAOYSA-N,111-41-1,['9.0E+07'],['Q'],[25.0]
tetramethylammonium hydroxide,WGTYBPLFGIVFAS-UHFFFAOYSA-M,75-59-2,['2.3E+10'],['Q'],[25.0]
methacrylamide,FQPSGWSUVKBHSU-UHFFFAOYSA-N,79-39-0,['8.8E+03'],['?'],[25.0]
acetone cyanohydrin,MWFMGBPGAXYFAR-UHFFFAOYSA-N,75-86-5,['8.0E+01'],['V'],[25.0]
"carbamic acid, 1-methylethyl ester",OVPLZYJGTGDFNB-UHFFFAOYSA-N,1746-77-6,['1.4E+02'],['Q'],[25.0]
propylcarbamate,YNTOKMNHRPSGFU-UHFFFAOYSA-N,627-12-3,['1.0E+02'],['V'],[25.0]
butanamide,DNSISZSEWVHGLH-UHFFFAOYSA-N,541-35-5,['3.6E+03'],['?'],[25.0]
"N,N-dimethylacetamide",FXHOOIRPVKKKFG-UHFFFAOYSA-N,127-19-5,"['6.1E+01', '6.1E+01', '4.4E+02', '4.4E+02', '1.7E+02', '1.3E+01', '3.6E+02']","['L', 'L', 'L', 'M', 'Q', 'Q', 'Q']","[7526.85, 7526.85, 7726.85, 8326.85, 25.0, 25.0, 25.0]"
"2-butanone, oxime",WHIVNJATOVLWBW-UHFFFAOYSA-N,96-29-7,['8.1E+00'],['V'],[25.0]
nitrosoethylurethane,RAUQLNDTFONODT-UHFFFAOYSA-N,614-95-9,['5.2E+02'],['Q'],[25.0]
"N,N-diethylmethanamide",SUAKHGWARZSWIH-UHFFFAOYSA-N,617-84-5,['1.3E+02'],['Q'],[25.0]
N-nitroso-N-butylurea,LSWOCDLIYSKTRX-UHFFFAOYSA-N,869-01-2,['4.3E+04'],['Q'],[25.0]
N-methyldiethanolamine,CRVGTESFCCXCTH-UHFFFAOYSA-N,105-59-9,"['3.3E+03', '3.9E+03', '4.0E+05', '3.1E+05', '3.2E+05', '1.3E+05', '2.4E+03', '1.9E+03']","['M', 'M', 'M', 'V', 'V', 'Q', 'Q', 'Q']","[25.0, 3526.85, 11726.85, 25.0, 25.0, 25.0, 25.0, 25.0]"
methylbutylnitrosamine,PKTSCJXWLVREKX-UHFFFAOYSA-N,7068-83-9,['1.7E+00'],['M'],[25.0]
2-(isopropylamino)ethanol,RILLZYSZSDGYGV-UHFFFAOYSA-N,109-56-8,"['1.1E+02', '1.4E+01', '5.4E+01']","['M', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"3-(dimethylamino)-1,2-propanediol",QCMHUGYTOGXZIW-UHFFFAOYSA-N,623-57-4,"['6.7E+02', '6.1E+03', '6.4E+02']","['M', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"2-amino-2-ethyl-1,3-propanediol",IOAOAKDONABGPZ-UHFFFAOYSA-N,115-70-8,"['7.1E+02', '4.0E+04', '2.7E+03']","['M', 'Q', 'Q']","[25.0, 25.0, 25.0]"
daminozide,NOQGZXFMHARMLW-UHFFFAOYSA-N,1596-84-5,"['2.3E+04', '4.1E+03', '7.0E+01']","['V', 'Q', '?']","[25.0, 25.0, 25.0]"
methylpentylnitrosamine,KSFCDINBDBFFSI-UHFFFAOYSA-N,13256-07-0,['2.0E+00'],['M'],[25.0]
ethylbutylnitrosamine,ZGMCNGHHUQZNIH-UHFFFAOYSA-N,4549-44-4,['9.9E-01'],['M'],[25.0]
nitrosohexamethyleneimine,UZMVSVHUTOAPTD-UHFFFAOYSA-N,932-83-2,['4.3E+01'],['M'],[25.0]
"2,6-dimethylnitrosomorpholine",DPYMAXOKJUBANR-UHFFFAOYSA-N,1456-28-6,['3.5E+01'],['M'],[25.0]
"2,6-dimethyldinitrosopiperazine",JIWAGFGPBKDFQN-UHFFFAOYSA-N,55380-34-2,['1.9E+02'],['M'],[25.0]
N-(1-methylethyl)-2-propenamide,QNILTEGFHQSKFF-UHFFFAOYSA-N,2210-25-5,['4.3E+02'],['Q'],[25.0]
