Compound,InChIKey,CAS,Constants,Types,Temperature
"3,5-dimethyl-3-octanol",DMIBTMSBSULJMT-UHFFFAOYSA-N,56065-42-0,"['4.0E-02', '7.0E-02', '3.7E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"3,6-dimethyl-3-octanol",NPHCXUPGMINOPP-UHFFFAOYSA-N,151-19-9,"['4.0E-02', '6.9E-02', '3.7E-02', '9.6E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"3,6-dimethyl-4-octanol",XFUFFAQPWAGSDK-UHFFFAOYSA-N,66719-31-1,"['4.5E-02', '2.1E-02', '3.8E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"3,7-dimethyl-1-octanol",PRNCMAKCNVRZFX-UHFFFAOYSA-N,106-21-8,"['3.3E-02', '3.3E-02', '3.7E-01', '3.8E-02', '3.2E-02', '5.0E-01']","['X', 'X', 'Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
"3,7-dimethyl-2-octanol",XCWMPEYBKUYTLZ-UHFFFAOYSA-N,15340-96-2,"['3.0E-02', '5.6E-02', '3.6E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"3,7-dimethyl-3-octanol",DLHQZZUEERVIGQ-UHFFFAOYSA-N,78-69-3,"['3.7E-02', '7.7E-02', '3.7E-02', '8.5E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"4,5-dimethyl-1-octanol",UQKHXPAWOMZBLN-UHFFFAOYSA-N,66719-32-2,"['3.3E-02', '3.8E-02', '3.2E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"4,6-dimethyl-1-octanol",JOWDWXPTKVUHBV-UHFFFAOYSA-N,66719-33-3,"['3.3E-02', '3.8E-02', '3.2E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"4,6-dimethyl-4-octanol",QJVDAQVYZBSYCB-UHFFFAOYSA-N,56065-43-1,"['4.1E-02', '6.7E-02', '3.7E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"4,7-dimethyl-1-octanol",UWAGZVFFZJGLJU-UHFFFAOYSA-N,66719-34-4,"['3.3E-02', '3.8E-02', '3.2E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"4,7-dimethyl-4-octanol",OTISWHNJCUMBFI-UHFFFAOYSA-N,19781-13-6,"['4.0E-02', '6.9E-02', '3.7E-02', '9.6E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"7,7-dimethyl-1-octanol",RYFZXYQQFYLUHM-UHFFFAOYSA-N,66719-35-5,"['3.0E-02', '3.8E-02', '3.2E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
2-ethyl-1-octanol,HTRVTKUOKQWGMO-UHFFFAOYSA-N,20592-10-3,"['3.9E-02', '2.3E-02', '3.6E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
3-ethyl-1-octanol,VXOCEIUJVCHLRR-UHFFFAOYSA-N,66719-36-6,"['3.9E-02', '3.4E-02', '3.5E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
3-ethyl-3-octanol,NPQPNSNHYJTUSA-UHFFFAOYSA-N,2051-32-3,"['3.9E-02', '5.7E-02', '4.3E-02', '7.7E-01']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
3-ethyl-4-octanol,WXJDPIWUPZLVSF-UHFFFAOYSA-N,63126-48-7,"['4.8E-02', '2.2E-02', '3.9E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
4-ethyl-4-octanol,OYBUBRUQIKTRET-UHFFFAOYSA-N,38395-42-5,"['4.3E-02', '4.7E-02', '4.3E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
6-ethyl-3-octanol,JWZFCOOWAQHCBP-UHFFFAOYSA-N,19781-27-2,"['4.3E-02', '3.8E-02', '3.6E-02']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"2,2,3-trimethyl-3-heptanol",GCLFPNQSLCWZAQ-UHFFFAOYSA-N,29772-40-5,"['3.7E-02', '2.7E-02', '3.6E-02', '1.1E+00']","['X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"2,2,4-trimethyl-4-heptanol",KNACVESXMPHLNM-UHFFFAOYSA-N,57233-31-5,"['4.1E-02', '3.4E-02', '1.3E+00']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
