Compound,InChIKey,Constants,Types,Temperature
nitrous acid,IOVCWXUNBOPUCH-UHFFFAOYSA-N,"['4.8E-01', '4.7E-01', '4.7E-01', '4.8E-01', '3.7E-01', '4.7E-01', '4.8E-01', '4.8E-01']","['L', 'M', 'M', 'M', 'M', 'T', 'T', '?']","[4526.85, 4626.85, 4626.85, 4626.85, 8726.85, 4426.85, 4526.85, 25.0]"
nitric acid,GRYLNZFGIOXLOG-UHFFFAOYSA-N,"['8.8E+02', '2.1E+03', '2.6E+04', '2.1E+03', '2.1E+03', '2.1E+03', '3.4E+03']","['V', 'R', 'T', 'T', '?', '?', '?']","[25.0, 8426.85, 8426.85, 25.0, 25.0, 25.0, 8526.85]"
pernitric acid,UUZZMWZGAZGXSF-UHFFFAOYSA-N,"['3.9E-01', '3.9E+01', '1.2E+02', '1.4E+02', '2.0E+02']","['L', 'M', 'T', 'C', 'C']","[8126.85, 25.0, 6626.85, 25.0, -273.15]"
fluorine atom,YCKRFDGAMUMZLT-UHFFFAOYSA-N,['2.0E-04'],['T'],[126.85000000000002]
hydrogen fluoride,KRHYYFGTRYWZRS-UHFFFAOYSA-N,"['1.3E+02', '6.8E-04']","['M', 'Q']","[25.0, 25.0]"
difluorine monoxide,UJMWVICAENGCRF-UHFFFAOYSA-N,['2.9E-05'],['C'],[25.0]
nitrogen trifluoride,GVGCUCJTUSOZKP-UHFFFAOYSA-N,"['7.9E-06', '7.9E-06', '7.9E-06', '7.9E-06', '7.7E-06', '7.8E-06']","['L', 'L', 'L', 'L', 'M', 'M']","[1626.85, 1626.85, 1626.85, 1626.85, 1426.85, 1626.85]"
dinitrogen tetrafluoride,GFADZIUESKAXAK-UHFFFAOYSA-N,"['8.4E-06', '8.4E-06', '8.4E-06', '8.4E-06', '8.4E-06']","['L', 'L', 'L', 'L', 'M']","[2226.85, 2226.85, 2226.85, 2226.85, 2126.85]"
chlorine (molecular),KZBUYRJDOAKODT-UHFFFAOYSA-N,"['6.1E-04', '6.2E-04', '6.0E-04', '7.4E-04', '5.9E-04', '6.1E-04', '8.7E-04']","['M', 'M', 'M', 'R', 'R', 'T', 'Q']","[2926.85, 3226.85, 2726.85, 2326.85, 25.0, 2526.85, 25.0]"
chlorine atom,ZAMOUSCENKQFHK-UHFFFAOYSA-N,"['2.3E-02', '2.3E-02', '2.3E-02', '2.3E-02', '2.0E-03', '1.5E-04']","['T', 'T', 'T', 'T', 'T', 'T']","[25.0, 25.0, 25.0, 25.0, 25.0, 1226.85]"
hydrogen chloride,VEXZGXHMUGYJMC-UHFFFAOYSA-N,"['1.5E+01', '1.1E-02', '2.0E-01', '2.4E-01', '1.9E-01', '7.2E+00', '2.5E+01']","['R', 'T', 'C', 'Q', '?', '?', '?']","[25.0, 2026.85, 25.0, 25.0, 346.85, 1726.85, 25.0]"
hypochlorous acid,QWPPOHNGKGFGJK-UHFFFAOYSA-N,"['6.5E+00', '6.5E+00', '6.5E+00', '6.5E+00', '6.5E+00', '9.1E+00', '4.7E+00', '9.0E+00', '6.0E+00', '1.2E+01', '6.4E+00', '2.6E+00', '5.4E+00']","['L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'T', 'Q']","[5626.85, 5626.85, 5626.85, 5626.85, 5626.85, 25.0, 1326.85, 25.0, 4626.85, 4926.85, 8626.85, 4826.85, 25.0]"
perchloric acid,VLTRZXGMWDSKGL-UHFFFAOYSA-N,['9.9E+03'],['E'],[25.0]
monochlorine monoxide,MLWGAEVSWJXOQJ-UHFFFAOYSA-N,"['7.0E-03', '7.0E-03', '7.0E-03', '7.0E-03']","['T', 'T', 'T', 'T']","[25.0, 25.0, 25.0, 25.0]"
dichlorine monoxide,RCJVRSBWZCNNQT-UHFFFAOYSA-N,"['3.4E-02', '7.6E-02', '7.0E-02']","['R', 'R', 'R']","[5626.85, 5326.85, 25.0]"
chlorine dioxide,OSVXSBDYLRYLIG-UHFFFAOYSA-N,"['1.0E-02', '1.0E-02', '1.0E-02', '1.0E-02', '1.0E-02', '1.0E-02', '1.0E-02', '1.1E-02', '1.0E-02', '6.6E-03', '9.7E-03', '1.1E-02', '9.7E-03', '1.0E-02']","['L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', '?', '?', '?']","[3226.85, 3226.85, 3226.85, 3226.85, 3026.85, 3026.85, 2926.85, 2826.85, 25.0, 926.85, 3326.85, 2826.85, 25.0, 3026.85]"
perchloryl fluoride,XHFXMNZYIKFCPN-UHFFFAOYSA-N,['4.4E-05'],['Q'],[25.0]
nitrosyl chloride,VPCDQGACGWYTMC-UHFFFAOYSA-N,"['4.9E-04', '4.9E-04', '4.9E-04']","['L', 'L', 'M']","[25.0, 25.0, 25.0]"
nitryl chloride,HSSFHZJIMRUXDM-UHFFFAOYSA-M,"['4.5E-04', '2.4E-04', '3.9E-04']","['E', 'E', '?']","[25.0, 25.0, 25.0]"
chlorine nitrate,XYLGPCWDPLOBGP-UHFFFAOYSA-N,['7.0E-02'],['Q'],[4226.85]
