Compound,InChIKey,Constants,Types,Temperature
MCM:TLEMUCCO2H,YZQFSRDEODCLRC-UHFFFAOYSA-N,"['1.7E+06', '8.3E+05', '1.3E+07']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
MCM:EBZMUCCO2H,BSMJHSATRRVHTI-UHFFFAOYSA-N,"['1.5E+06', '5.0E+05', '6.8E+06']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
MCM:MXYMUCCO2H,BMJHPUYAWBLOER-UHFFFAOYSA-N,"['9.1E+05', '4.2E+05', '3.2E+06']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
MCM:PXYMUCCO2H,FMBYVAMRNZYNGO-UHFFFAOYSA-N,"['9.1E+05', '2.9E+05', '8.3E+06']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
MCM:IPBZMUCO2H,LXYULRJMRUJREP-UHFFFAOYSA-N,"['1.4E+06', '3.2E+05', '2.2E+06']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
MCM:METLMUCO2H,TZAADSLPRMCSBM-UHFFFAOYSA-N,"['8.0E+05', '2.1E+05', '1.0E+06']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
MCM:PBZMUCCO2H,MSVJIRWCUUEXSY-UHFFFAOYSA-N,"['1.2E+06', '3.0E+05', '2.9E+06']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
MCM:PETLMUCO2H,YZGPSCFZKHZHEQ-UHFFFAOYSA-N,"['8.0E+05', '1.4E+05', '2.6E+06']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
MCM:TM124MUO2H,VDBMALGYQLXWML-UHFFFAOYSA-N,"['4.9E+05', '1.4E+05', '4.3E+06']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
MCM:TM135MUO2H,RLMHTEATULORAU-UHFFFAOYSA-N,"['6.2E+05', '3.8E+05', '2.1E+06']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
MCM:DMEBMUO2H,GTDCDBIZJZUTJP-UHFFFAOYSA-N,"['5.4E+05', '2.0E+05', '1.0E+06']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
MCM:DETLMUO2H,FTAMRHAZJZCWNK-UHFFFAOYSA-N,"['4.5E+05', '1.4E+05', '5.5E+05']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
MCM:DMCOOH,ISFGCMQHKVEPTP-UHFFFAOYSA-N,"['2.0E+04', '3.7E+03', '1.9E+02']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
MCM:MMF,VKWJMTLAAJULGF-UHFFFAOYSA-N,"['1.2E+00', '2.1E+00', '1.5E+00']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
MCM:MMFOOH,AAAZTRZXKHTMLL-UHFFFAOYSA-N,"['9.8E+04', '5.6E+02', '9.6E+01']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
MCM:DMCOH,YGODNDLTUXBUQH-UHFFFAOYSA-N,"['7.4E+02', '7.4E+02', '6.9E+01']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
MCM:MMFOH,GDDJZBRTXIGGHV-UHFFFAOYSA-N,"['3.6E+03', '1.5E+02', '4.5E+01']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
GOLIG1,LEKXYOUPWKVTGM-UHFFFAOYSA-N,['1.5E+12'],['Q'],[18726.85]
GOLIG2,GWSRJJGBNXJVPO-UHFFFAOYSA-N,['1.5E+15'],['Q'],[23726.85]
GOLIG3,ADECTKUVLJSMDK-UHFFFAOYSA-N,['3.8E+18'],['Q'],[28726.85]
MGLYFB,UCPBJDKPOQEXSQ-UHFFFAOYSA-N,['7.1E+08'],['Q'],[22726.85]
MGLYOXDA,QMSLRDMQAWWKIZ-UHFFFAOYSA-N,['2.0E+08'],['Q'],[15726.85]
MGLYOXDB,IUHMFBWAUOLAFM-UHFFFAOYSA-N,['1.5E+13'],['Q'],[21726.85]
$\beta$-propiolactone,VEZXCJBBBCKRPI-UHFFFAOYSA-N,['1.3E+01'],['?'],[25.0]
"2-methyl-1,3-dioxolane",HTWIZMNMTWYQRN-UHFFFAOYSA-N,['7.9E-01'],['?'],[25.0]
DIEPOXO3,QGQUFAZKBSHWQB-UHFFFAOYSA-N,['1.3E+03'],['Q'],[13726.85]
IEPOXO4,DNQIATHBSKHPLN-UHFFFAOYSA-N,['2.1E+04'],['Q'],[13726.85]
"2,2-dimethyl-1,3-dioxolane",SIJBDWPVNAYVGY-UHFFFAOYSA-N,['4.8E-01'],['?'],[25.0]
METHFDIOL,UNAIOYXCADSMDR-UHFFFAOYSA-N,['9.0E+05'],['Q'],[10726.85]
"3,4-dihydro-2-methoxy-2H-pyran",XCYWUZHUTJDTGS-UHFFFAOYSA-N,['9.7E-02'],['?'],[25.0]
maltol,XPCTZQVDEJYUGT-UHFFFAOYSA-N,['7.3E+02'],['Q'],[25.0]
2-methylfuran,VQKFNUFAXTZWDK-UHFFFAOYSA-N,['1.5E-03'],['M'],[3826.85]
3-methylfuran,KJRRQXYWFQKJIP-UHFFFAOYSA-N,['3.2E-03'],['Q'],[25.0]
2-furanmethanol,XPFVYQJUAUNWIW-UHFFFAOYSA-N,"['1.3E+02', '1.2E+02', '2.5E+01', '2.2E+01', '2.4E+01', '5.3E+01', '6.2E+01', '3.9E+01', '4.9E+01', '3.4E+01', '4.8E+01', '4.8E+02', '1.1E+02']","['V', 'V', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
tetrahydropyran-2-methanol,ROTONRWJLXYJBD-UHFFFAOYSA-N,"['6.5E+02', '5.2E+01', '6.2E+01', '3.1E+02', '2.0E+03', '9.0E+01', '8.5E+01']","['V', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
oxirane,IAYPIBMASNFSPL-UHFFFAOYSA-N,"['5.8E-02', '8.3E-02', '8.6E-02', '5.0E-02', '6.0E-02', '1.4E-01', '9.3E-03', '5.9E-02', '6.0E-02', '3.9E-02', '2.9E-02', '6.7E-02', '1.0E-02', '6.7E-02', '4.1E-02']","['M', 'V', 'V', 'V', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?']","[2926.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
"1,2-epoxypropane",GOOHAUXETOMSMM-UHFFFAOYSA-N,"['1.4E-01', '1.4E-01', '1.2E-01', '1.2E-01', '1.2E-01', '1.7E-01', '5.2E-02', '5.1E-02', '6.3E-02', '1.2E-01', '1.7E-02', '1.5E-01', '1.3E-02', '1.4E-01']","['V', 'V', 'V', 'V', 'V', 'X', 'X', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 3226.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
phenyloxirane,AWMVMTVKBNGEAK-UHFFFAOYSA-N,"['6.2E-01', '5.8E-01', '5.8E-01', '6.2E-01', '2.5E-01', '5.5E-01', '1.0E+00']","['V', 'V', 'V', 'V', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
oxacyclopentadiene,YLQBMQCUIZJEEH-UHFFFAOYSA-N,"['1.8E-03', '1.8E-03', '1.8E-03', '1.8E-03', '1.8E-03', '2.2E-03', '4.6E-03', '3.1E-02', '2.0E-03', '2.0E-03', '1.9E-03', '2.3E-03', '1.9E-03', '4.3E-03', '1.2E-02', '1.8E-03', '1.8E-03']","['V', 'V', 'V', 'X', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
dibenzofuran,TXCDCPKCNAJMEE-UHFFFAOYSA-N,"['7.4E-02', '4.6E-02', '4.7E-02', '7.1E-02', '7.2E-02', '9.1E-02', '8.9E-03', '2.8E-01', '9.0E-02', '8.2E-02', '4.7E-02']","['L', 'V', 'V', 'V', 'V', 'X', 'X', 'Q', 'Q', 'Q', 'Q']","[5526.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-furancarboxaldehyde,HYBBIBNJHNGZAN-UHFFFAOYSA-N,"['2.6E+00', '2.6E+00', '2.7E+00', '2.7E+00', '3.0E+00', '3.0E+00', '9.6E+00', '8.4E-01', '1.7E+00', '2.0E-01', '6.2E+00', '7.8E-01', '3.0E+00', '6.0E+00', '8.1E-01', '7.2E-02', '7.2E-02', '3.0E+00']","['V', 'V', 'V', 'V', 'X', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
5-methylfurfural,OUDFNZMQXZILJD-UHFFFAOYSA-N,['4.7E+00'],['?'],[25.0]
"2,2-dimethyloxirane",GELKGHVAFRCJNA-UHFFFAOYSA-N,['2.9E-02'],['?'],[25.0]
tetrahydrofuran,WYURNTSHIVDZCO-UHFFFAOYSA-N,"['1.5E-01', '1.5E-01', '6.4E-01', '6.0E-01', '2.2E-01', '1.4E-01', '6.0E-02', '1.1E-01', '1.3E-01', '8.5E-02', '2.5E-02', '2.0E-01', '1.2E-01', '6.0E-02', '1.1E-01', '3.5E-02', '1.5E-01', '1.3E-01', '2.4E-02', '1.3E-01', '1.4E-01', '1.9E-01', '1.4E-01']","['L', 'M', 'M', 'M', 'M', 'T', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?']","[5426.85, 5426.85, 25.0, 3926.85, 25.0, 5426.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
tetrahydrofuran-d8,WYURNTSHIVDZCO-SVYQBANQSA-N,['2.3E-01'],['M'],[7726.85]
2-methyltetrahydrofuran,JWUJQDFVADABEY-UHFFFAOYSA-N,"['1.5E-03', '1.1E-01', '1.5E-01', '5.3E-02', '2.0E-02', '1.2E-01', '7.8E-02', '6.1E-02', '1.7E-02', '1.0E-01', '2.4E-02', '9.0E-02', '1.1E-01']","['V', 'T', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?']","[25.0, 5926.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
"2,5-dimethyltetrahydrofuran",OXMIDRBAFOEOQT-UHFFFAOYSA-N,"['5.5E-02', '1.6E-02', '7.8E-02', '6.2E-02', '3.1E-02', '2.5E-02', '7.9E-02']","['T', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q']","[6526.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
tetrahydropyran,DHXVGJBLRPWPCS-UHFFFAOYSA-N,"['8.1E-02', '8.3E-02', '1.0E-01', '1.0E-01', '7.8E-02', '1.5E-01', '1.4E-01', '2.0E-02', '2.0E-01', '7.8E-02', '1.1E-01', '6.9E-02', '7.9E-02', '2.0E-01', '2.6E-02', '9.9E-02', '7.9E-02', '7.9E-02']","['L', 'M', 'V', 'V', 'T', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?']","[5526.85, 5626.85, 25.0, 25.0, 5626.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
3-methyltetrahydropyran,UJQZTMFRMLEYQN-UHFFFAOYSA-N,[],[],[]
"3,4-dihydro-2H-pyran",BUDQDWGNQVEFAC-UHFFFAOYSA-N,[],[],[]
"1,3-dioxolane",WNXJIVFYUVYPPR-UHFFFAOYSA-N,"['4.3E-01', '4.0E-01', '8.1E-02', '2.1E+00', '1.5E+00', '2.2E-01', '4.0E-01']","['M', 'T', 'Q', 'Q', 'Q', 'Q', '?']","[4526.85, 4526.85, 25.0, 25.0, 25.0, 25.0, 25.0]"
"1,3-dioxane",VDFVNEFVBPFDSB-UHFFFAOYSA-N,"['1.8E+00', '2.1E+00']","['M', 'Q']","[25.0, 25.0]"
"1,4-dioxane",RYHBNJHYFVUHQT-UHFFFAOYSA-N,"['1.8E+00', '2.3E+00', '2.0E+00', '2.0E+00', '1.4E+00', '2.1E+00', '4.4E+00', '1.4E+00', '2.2E+00', '1.9E+00', '1.1E+00', '2.0E+00', '1.1E+00', '1.1E-01', '2.8E+00', '7.8E-01', '1.2E+01', '1.6E+00', '3.3E+00', '1.3E+00', '1.5E+00', '8.2E-01', '2.1E+00', '1.8E+00', '2.0E+00', '2.2E+00', '1.4E+00']","['L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'V', 'T', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?', '?']","[5526.85, 6326.85, 5526.85, 25.0, 4826.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 5526.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
"1,4-dioxane-d8",RYHBNJHYFVUHQT-SVYQBANQSA-N,['2.8E+00'],['M'],[6526.85]
trioxane,BGJSXRVXTHVRSN-UHFFFAOYSA-N,"['9.6E-01', '2.7E+00']","['X', 'Q']","[25.0, 25.0]"
"4-methyl-1,3-dioxolan-2-one",RUOJZAUFBMNUDX-UHFFFAOYSA-N,"['2.9E+02', '2.9E+02', '1.6E-01', '1.4E+02']","['V', 'V', 'Q', '?']","[25.0, 25.0, 25.0, 25.0]"
"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",WEEGYLXZBRQIMU-UHFFFAOYSA-N,"['5.9E-02', '1.2E-01', '9.0E-02', '7.5E-02', '7.4E-02', '7.8E-02', '5.3E-03', '2.2E-02', '1.3E-01']","['M', 'M', 'V', 'V', 'V', 'V', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
limonene oxide,CCEFMUBVSUDRLG-UHFFFAOYSA-N,"['5.6E-02', '5.5E-02', '2.7E-02', '4.8E-02']","['M', 'V', 'V', 'Q']","[25.0, 25.0, 4326.85, 25.0]"
"dibenzo[$b,e$][1,4]dioxin",NFBOHOGPQUYFRF-UHFFFAOYSA-N,"['8.9E-02', '9.0E-02', '8.5E-02', '9.5E-03', '8.5E-02', '8.1E-02', '2.0E+00', '2.7E-02', '6.3E-02', '9.1E-02']","['V', 'V', 'V', 'V', 'V', 'V', 'Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
piperonal,SATCULPHIDQDRE-UHFFFAOYSA-N,"['1.8E+01', '1.8E+01', '1.6E+02', '4.1E+02', '1.1E+01']","['V', 'V', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0]"
paraldehyde,SQYNKIJPMDEDEG-UHFFFAOYSA-N,"['5.8E-01', '2.5E-01', '4.7E+00', '3.6E-01', '2.1E+00', '6.4E-01']","['V', 'V', 'Q', 'Q', 'Q', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
benzofuran,IANQTJSKSUMEQM-UHFFFAOYSA-N,"['1.9E-02', '1.9E-02']","['Q', 'Q']","[25.0, 25.0]"
$\gamma$-nonalactone,OALYTRUKMRCXNH-UHFFFAOYSA-N,['1.8E-01'],['Q'],[25.0]
xanthene,GJCOSYZMQJWQCA-UHFFFAOYSA-N,['1.3E-01'],['Q'],[25.0]
"1,5,5,9-tetramethyl-13-oxatricyclo(8.3.0.0(4,9))tridecane",YPZUZOLGGMJZJO-UHFFFAOYSA-N,"['2.0E-02', '2.9E-01', '6.5E-02', '1.1E-03']","['Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[$g$]-2-benzopyran",ONKNPOPIGWHAQC-UHFFFAOYSA-N,"['7.6E-02', '7.5E-02', '8.2E+00', '8.4E-02', '9.9E-03']","['V', 'Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0]"
cinmethylin,QMTNOLKHSWIQBE-FGTMMUONSA-N,['1.3E+01'],['?'],[25.0]
milbemycin A4,VOZIAWLUULBIPN-LRBNAKOISA-N,['7.7E+06'],['?'],[25.0]
"(1S-endo)-1,7,7-trimethyl-bicyclo[2.2.1]heptan-2-ol",DTGKSKDOIYIVQL-QXFUBDJGSA-N,"['4.5E-01', '7.2E-01', '4.0E-01']","['M', 'V', 'Q']","[25.0, 25.0, 25.0]"
"(1R)-1,3,3-trimethylbicyclo[2.2.1]heptan-2-ol",IAIHUHQCLTYTSF-OYNCUSHFSA-N,"['3.6E-01', '3.6E-01', '4.0E-01']","['M', 'V', 'Q']","[25.0, 25.0, 25.0]"
2-(4-methyl-3-cyclohexen-1-yl)-2-propanol,WUOACPNHFRMFPN-UHFFFAOYSA-N,"['4.4E+00', '4.1E+00', '6.0E-01', '4.2E+00', '7.4E-01', '6.5E+00', '3.6E+00', '8.2E-01']","['M', 'V', 'V', 'V', 'V', 'Q', 'Q', 'Q']","[1926.85, 25.0, 4526.85, 25.0, 5126.85, 25.0, 25.0, 25.0]"
"1,2-dimethyl-3-(1-methylethenyl)-cyclopentanol",ZRVPDCMGGOSDKG-UHFFFAOYSA-N,"['5.3E-01', '4.0E-01', '3.4E-01', '1.2E+00', '1.6E+00']","['V', 'V', 'Q', 'Q', 'Q']","[25.0, 16726.85, 25.0, 25.0, 25.0]"
1-methyl-4-(1-methylethyl)-7-oxabicyclo[2.2.1]heptane,RFFOTVCVTJUTAD-UHFFFAOYSA-N,"['3.9E-02', '7.4E-02', '1.4E-01']","['M', 'V', 'V']","[25.0, 25.0, 3726.85]"
"1,7,7-trimethyl-bicyclo[2.2.1]heptan-2-one",DSSYKIVIOFKYAU-UHFFFAOYSA-N,"['1.2E-01', '1.2E-01', '1.1E+00', '5.4E-01', '8.2E-01', '2.3E-02', '3.5E-01']","['V', 'V', 'V', 'V', 'V', 'Q', 'Q']","[25.0, 25.0, 25.0, 4526.85, 25.0, 25.0, 25.0]"
"2,7,7-trimethyl-3-oxatricyclo[4.1.1.0(2,4)]octane",NQFUSWIGRKFAHK-UHFFFAOYSA-N,"['2.3E-02', '2.3E-02', '2.4E-02', '5.4E-02', '2.2E-02']","['M', 'V', 'V', 'V', 'Q']","[25.0, 25.0, 25.0, 4126.85, 25.0]"
5-methyl-2-(1-methylethylidene)-cyclohexanone,NZGWDASTMWDZIW-UHFFFAOYSA-N,"['2.8E-01', '1.7E-01']","['V', 'Q']","[5026.85, 25.0]"
"exo-2-[(1,7,7-trimethylbicyclo[2.2.1]hept-2-yl)-oxy]ethanol",IWWCSDGEIDYEJV-JBLDHEPKSA-N,['1.0E+00'],['V'],[3826.85]
bornyl acetate,KGEKLUUHTZCSIP-SCVCMEIPSA-N,['3.8E-04'],['M'],[1426.85]
$\beta$-ionone,PSQYTAPXSHCGMF-BQYQJAHWSA-N,"['1.2E+00', '1.2E-01', '1.5E-02', '6.6E-03']","['M', 'V', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
nerolidol,FQTLCLSUCSAZDY-UHFFFAOYSA-N,['3.2E-04'],['M'],[4026.85]
oxoethanoic acid,HHLFWLYXYJOTON-UHFFFAOYSA-N,"['1.1E+02', '1.1E+02', '1.1E+02', '1.1E+02', '1.3E+04', '1.5E+01', '6.9E+01', '3.3E+03', '7.8E+04', '2.5E+08', '3.1E+03', '8.9E+01']","['L', 'L', 'L', 'M', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'E']","[4526.85, 4526.85, 4526.85, 4526.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
hydroxyethanoic acid,AEMRFAOFKBGASW-UHFFFAOYSA-N,"['2.8E+02', '2.8E+02', '2.8E+02', '2.8E+02', '1.9E+03', '1.4E+05', '5.3E+04', '1.2E+03', '3.1E+04', '1.2E+02']","['L', 'L', 'L', 'M', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q']","[3726.85, 3726.85, 3726.85, 3726.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-hydroxyethanal,WGCNASOHLSPBMP-UHFFFAOYSA-N,"['3.9E+02', '3.9E+02', '4.1E+02', '9.9E+02', '2.9E+02', '1.8E+01', '1.3E+01', '1.1E+02', '4.2E+00', '3.1E+01', '7.8E+03', '9.9E-01', '6.5E+02', '2.4E+02', '4.1E+02']","['L', 'L', 'M', 'C', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?']","[4326.85, 4326.85, 4326.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
propanonal,AIJULSRZWUXGPQ-UHFFFAOYSA-N,"['3.5E+01', '3.5E+01', '3.2E+02', '3.4E+01', '3.7E+02', '5.4E+01', '1.3E+01', '2.9E-02', '6.2E+02', '4.9E+02', '3.9E+01', '1.4E+01', '8.2E+00']","['L', 'L', 'M', 'M', 'C', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q']","[7226.85, 7226.85, 25.0, 7226.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-oxopropanoic acid,LCTONWCANYUPML-UHFFFAOYSA-N,"['3.1E+03', '3.1E+03', '3.1E+03', '3.1E+03', '3.0E+03', '3.1E+03', '3.1E+03', '3.1E+03', '2.2E+04', '2.3E+02', '7.8E+03', '5.0E+01', '1.9E+01', '1.6E+03', '2.0E+06', '4.9E+03', '2.6E+03', '2.6E+03', '3.1E+03']","['L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?']","[4826.85, 4826.85, 4826.85, 4826.85, 5026.85, 4826.85, 25.0, 4926.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
3-oxopropanoic acid,OAKURXIZZOAYBC-UHFFFAOYSA-N,"['1.0E+04', '1.2E+04', '1.7E+04', '6.9E+01']","['Q', 'Q', 'Q', 'E']","[25.0, 25.0, 25.0, 25.0]"
2-hydroxypropanoic acid,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,"['1.2E+02', '1.2E+02', '1.1E+03', '9.9E+02', '9.9E+03', '9.9E+01', '6.9E+05']","['V', 'V', 'Q', 'Q', 'Q', 'Q', 'E']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
glycidaldehyde,IWYRWIUNAVNFPE-UHFFFAOYSA-N,['1.9E+01'],['Q'],[25.0]
trimethylene oxide,AHHWIHXENZJRFG-UHFFFAOYSA-N,"['4.0E-01', '3.9E-01', '1.2E-01']","['V', 'V', 'Q']","[25.0, 25.0, 25.0]"
"2,3-dihydroxypropanal",MNQZXJOMYWMBOU-UHFFFAOYSA-N,"['1.4E+04', '2.6E+04', '8.1E+02', '2.0E+08']","['Q', 'Q', 'Q', 'E']","[25.0, 25.0, 25.0, 25.0]"
dihydroxyacetone,RXKJFZQQPQGTFL-UHFFFAOYSA-N,"['1.8E+06', '5.5E+03', '3.8E+03', '5.0E+03']","['V', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
2-methoxyethanol,XNWFRZJHXBZDAG-UHFFFAOYSA-N,"['4.4E+00', '2.2E-04', '1.4E+01', '3.7E+01', '6.8E+00', '1.4E+01', '8.9E+00', '5.4E+01', '1.3E+01', '3.1E+01', '2.0E+01', '2.5E+02', '2.1E+01', '4.0E+01', '1.5E+01', '3.0E+01']","['M', 'M', 'M', 'T', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?']","[7226.85, -1003.15, 25.0, 7026.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
4-oxobutanoic acid,UIUJIQZEACWQSV-UHFFFAOYSA-N,"['8.3E+03', '3.2E+05', '2.1E+04', '4.9E+01']","['Q', 'Q', 'Q', 'E']","[25.0, 25.0, 25.0, 25.0]"
"2,3-dihydroxybutanedioic acid",FEWJPZIEWOKRBE-JCYAYHJZSA-N,"['4.9E+15', '4.9E+15', '1.3E+13', '5.1E+10', '1.3E+13', '9.9E+15']","['L', 'L', 'X', 'Q', 'Q', 'E']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
"3-oxapentane-1,5-diol",MTHSVFCYNBDYFN-UHFFFAOYSA-N,"['3.3E+04', '3.3E+04', '9.0E+03', '2.5E+03', '1.6E+03', '1.7E+03', '4.9E+03', '7.7E+03', '3.8E+04', '2.4E+04', '2.2E+04', '2.0E+07', '3.3E+04']","['X', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'E', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
hydroxybutanedioic acid,BJEPYKJPYRNKOW-UHFFFAOYSA-N,"['2.7E+08', '1.7E+09', '1.2E+07', '5.3E+08', '1.4E+09', '2.0E+11']","['V', 'X', 'Q', 'Q', 'Q', 'E']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-ethoxyethanol,ZNQVEEAIQZEUHB-UHFFFAOYSA-N,"['8.9E+00', '3.3E+01', '2.8E+01', '9.2E+00', '5.8E+00', '7.4E+00', '3.4E+01', '9.8E+00', '2.5E+01', '1.2E+01', '1.6E+02', '1.6E+01', '3.2E+01', '7.5E+00', '2.1E+01', '1.9E+01']","['M', 'R', 'T', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?']","[25.0, 25.0, 7726.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-methoxy-1-propanol,YTTFFPATQICAQN-UHFFFAOYSA-N,['5.5E+02'],['Q'],[25.0]
"1,1-dimethoxyethane",SPEUIVXLLWOEMJ-UHFFFAOYSA-N,['1.5E-01'],['Q'],[25.0]
4-methylene-2-oxetanone,WASQWSOJHCZDFK-UHFFFAOYSA-N,['1.6E-02'],['Q'],[25.0]
2(5H)-furanone,VIHAEDVKXSOUAT-UHFFFAOYSA-N,"['3.5E-01', '3.6E+02', '1.4E+03', '1.0E+00']","['Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
