Compounds,InChI
M2BUOL2OOH,"InChI=1S/C5H12O3/c1-3-5(2,4-6)8-7/h6-7H,3-4H2,1-2H3"
M3BU2OLOOH,"InChI=1S/C5H12O3/c1-4(2)5(6)3-8-7/h4-7H,3H2,1-2H3"
MBOAOOH,"InChI=1S/C5H12O4/c1-5(2,7)4(3-6)9-8/h4,6-8H,3H2,1-2H3"
MBOBOOH,"InChI=1S/C5H12O4/c1-5(2,7)4(6)3-9-8/h4,6-8H,3H2,1-2H3"
ME2BUOLOOH,"InChI=1S/C5H12O3/c1-4(6)5(2,3)8-7/h4,6-7H,1-3H3"
ME3BUOLOOH,"InChI=1S/C5H12O3/c1-4(2)5(3-6)8-7/h4-7H,3H2,1-2H3"
PROL11MOOH,"InChI=1S/C5H12O3/c1-3-5(2,6)4-8-7/h6-7H,3-4H2,1-2H3"
PROL1MCO3H,"InChI=1S/C5H10O4/c1-3-5(2,7)4(6)9-8/h7-8H,3H2,1-2H3"
BZBIPEROOH,InChI=1S/C6H8O5/c7-5-3-1-2-4(9-8)6(5)11-10-3/h1-8H
C518CO3H,"InChI=1S/C6H10O4/c1-4(2)5(3-7)6(8)10-9/h5,7,9H,1,3H2,2H3"
C622OOH,"InChI=1S/C6H12O3/c1-5(2)6(3-7)4-9-8/h6-8H,1,3-4H2,2H3"
C624OOH,"InChI=1S/C6H12O3/c1-5(2)6(9-8)3-4-7/h6-8H,1,3-4H2,2H3"
H13M3C5OOH,"InChI=1S/C6H14O4/c1-5(10-9)6(2,8)3-4-7/h5,7-9H,3-4H2,1-2H3"
H1MC5OOH,"InChI=1S/C6H14O3/c1-5(3-4-7)6(2)9-8/h5-8H,3-4H2,1-2H3"
H2M2C4CO3H,"InChI=1S/C6H12O4/c1-6(2,8)4-3-5(7)10-9/h8-9H,3-4H2,1-2H3"
H2M3C4CO3H,"InChI=1S/C6H12O4/c1-4(5(2)7)3-6(8)10-9/h4-5,7,9H,3H2,1-2H3"
H2MC5OOH,"InChI=1S/C6H14O3/c1-5(6(2)7)3-4-9-8/h5-8H,3-4H2,1-2H3"
H3M2C4CO3H,"InChI=1S/C6H12O4/c1-4(2)5(7)3-6(8)10-9/h4-5,7,9H,3H2,1-2H3"
H3M3C4CO3H,"InChI=1S/C6H12O4/c1-3-6(2,8)4-5(7)10-9/h8-9H,3-4H2,1-2H3"
H3M3C5OOH,"InChI=1S/C6H14O3/c1-3-6(2,7)4-5-9-8/h7-8H,3-5H2,1-2H3"
HM22C3CO3H,"InChI=1S/C6H12O4/c1-6(2,4-7)3-5(8)10-9/h7,9H,3-4H2,1-2H3"
HM22C4OOH,"InChI=1S/C6H14O3/c1-6(2,5-7)3-4-9-8/h7-8H,3-5H2,1-2H3"
HM23C4OOH,"InChI=1S/C6H14O3/c1-5(3-7)6(2)4-9-8/h5-8H,3-4H2,1-2H3"
HM2C43CO3H,"InChI=1S/C6H12O4/c1-4(3-7)5(2)6(8)10-9/h4-5,7,9H,3H2,1-2H3"
HM33C3CO3H,"InChI=1S/C6H12O4/c1-6(2,3-4-7)5(8)10-9/h7,9H,3-4H2,1-2H3"
HM33C4OOH,"InChI=1S/C6H14O3/c1-6(2,3-4-7)5-9-8/h7-8H,3-5H2,1-2H3"
HO1C6OOH,"InChI=1S/C6H14O3/c1-2-6(9-8)4-3-5-7/h6-8H,2-5H2,1H3"
HO1MC5OOH,"InChI=1S/C6H14O3/c1-5(4-7)3-6(2)9-8/h5-8H,3-4H2,1-2H3"
HO2C54CO3H,"InChI=1S/C6H12O4/c1-4(3-5(2)7)6(8)10-9/h4-5,7,9H,3H2,1-2H3"
HO2C6OOH,"InChI=1S/C6H14O3/c1-5(7)3-4-6(2)9-8/h5-8H,3-4H2,1-2H3"
HO2M2C5OOH,"InChI=1S/C6H14O3/c1-6(2,7)4-3-5-9-8/h7-8H,3-5H2,1-2H3"
HO2MC5OOH,"InChI=1S/C6H14O3/c1-5(4-9-8)3-6(2)7/h5-8H,3-4H2,1-2H3"
HO3C5CO3H,"InChI=1S/C6H12O4/c1-2-5(7)3-4-6(8)10-9/h5,7,9H,2-4H2,1H3"
HO3C6OOH,"InChI=1S/C6H14O3/c1-2-6(7)4-3-5-9-8/h6-8H,2-5H2,1H3"
HO4C5CO3H,"InChI=1S/C6H12O4/c1-2-3-5(7)4-6(8)10-9/h5,7,9H,2-4H2,1H3"
HO5C5CO3H,"InChI=1S/C6H12O4/c1-2-3-4-5(7)6(8)10-9/h5,7,9H,2-4H2,1H3"
PHENOH,"InChI=1S/C6H8O5/c7-4-3-1-2-6(8,9)5(4)11-10-3/h1-5,7-9H"
PHENOOH,"InChI=1S/C6H8O6/c7-4-3-1-2-6(8,12-9)5(4)11-10-3/h1-5,7-9H"
C622CO3H,"InChI=1S/C7H12O4/c1-5(2)6(4-8)3-7(9)11-10/h6,8,10H,1,3-4H2,2H3"
C624CO3H,"InChI=1S/C7H12O4/c1-5(2)6(3-4-8)7(9)11-10/h6,8,10H,1,3-4H2,2H3"
C720OOH,"InChI=1S/C7H12O3/c1-5-2-3-6(10-9)4-7(5)8/h2,6-9H,3-4H2,1H3"
CRESOH,"InChI=1S/C7H10O5/c1-6-2-3-7(9,10)5(4(6)8)11-12-6/h2-5,8-10H,1H3"
CRESOOH,"InChI=1S/C7H10O6/c1-6-2-3-7(9,12-10)5(4(6)8)11-13-6/h2-5,8-10H,1H3"
