Compounds,InChI
C1013CO,"InChI=1S/C10H16O3/c1-10(2)6-8(11)7(10)4-5-9(12)13-3/h7H,4-6H2,1-3H3"
BZFUCO,"InChI=1S/C4H4O4/c5-2-1-8-4(7)3(2)6/h2,5H,1H2"
ACPRONEOH,"InChI=1S/C5H8O4/c1-3(6)5(8)9-4(2)7/h5,8H,1-2H3"
ACBUONAOH,"InChI=1S/C6H10O4/c1-4(7)3-6(9)10-5(2)8/h6,9H,3H2,1-2H3"
C23O3EOH,"InChI=1S/C6H10O4/c1-3-5(8)10-6(9)4(2)7/h5,8H,3H2,1-2H3"
C6OTKETOH,"InChI=1S/C6H8O5/c1-3(7)5(9)11-6(10)4(2)8/h5,9H,1-2H3"
EBFUCO,"InChI=1S/C6H8O4/c1-2-3-4(7)5(8)6(9)10-3/h3-4,7H,2H2,1H3"
SBUACCOH,"InChI=1S/C6H10O4/c1-4(7)6(3,9)10-5(2)8/h9H,1-3H3"
IPBFUCO,"InChI=1S/C7H10O4/c1-3(2)6-4(8)5(9)7(10)11-6/h3-4,6,8H,1-2H3"
MC6OTKETOH,"InChI=1S/C7H10O5/c1-4(8)6(10)12-7(3,11)5(2)9/h11H,1-3H3"
PBFUCO,"InChI=1S/C7H10O4/c1-2-3-4-5(8)6(9)7(10)11-4/h4-5,8H,2-3H2,1H3"
C23O3CCHO,"InChI=1S/C5H6O4/c1-4(7)5(8)9-3-2-6/h2H,3H2,1H3"
C23O3MCHO,"InChI=1S/C6H8O4/c1-4(3-7)10-6(9)5(2)8/h3-4H,1-2H3"
C5OCO3M,"InChI=1S/C6H8O4/c1-4(8)5(2)10-6(9)3-7/h3,5H,1-2H3"
C23O3ECHO,"InChI=1S/C7H10O4/c1-3-6(4-8)11-7(10)5(2)9/h4,6H,3H2,1-2H3"
C1014CO,"InChI=1S/C10H16O4/c1-10(2,6-7-11)8(12)4-5-9(13)14-3/h7H,4-6H2,1-3H3"
BCLKBOC,"InChI=1S/C14H22O4/c1-14(2)9-10(12(16)5-4-8-15)11(14)6-7-13(17)18-3/h8,10-11H,4-7,9H2,1-3H3"
C148CO,"InChI=1S/C14H20O5/c1-14(2)8-9(13(18)11(16)6-7-15)10(14)4-5-12(17)19-3/h7,9-10H,4-6,8H2,1-3H3"
C148OOH,"InChI=1S/C14H22O6/c1-14(2)8-9(10(14)4-5-12(16)19-3)13(17)11(20-18)6-7-15/h7,9-11,18H,4-6,8H2,1-3H3"
C148OH,"InChI=1S/C14H22O5/c1-14(2)8-9(13(18)11(16)6-7-15)10(14)4-5-12(17)19-3/h7,9-11,16H,4-6,8H2,1-3H3"
MTBEALCO2H,"InChI=1S/C5H8O4/c1-5(2,4(7)8)9-3-6/h3H,1-2H3,(H,7,8)"
C1013CO2H,"InChI=1S/C11H18O4/c1-11(2)6-7(10(13)14)8(11)4-5-9(12)15-3/h7-8H,4-6H2,1-3H3,(H,13,14)"
CO14O3CO2H,"InChI=1S/C4H4O5/c5-1-2-9-4(8)3(6)7/h1H,2H2,(H,6,7)"
C23O3MCO2H,"InChI=1S/C6H8O5/c1-3(7)6(10)11-4(2)5(8)9/h4H,1-2H3,(H,8,9)"
C23O3ECO2H,"InChI=1S/C7H10O5/c1-3-5(6(9)10)12-7(11)4(2)8/h5H,3H2,1-2H3,(H,9,10)"
ETHOXOOH,"InChI=1S/C2H4O3/c3-5-2-1-4-2/h2-3H,1H2"
DMMAOOH,"InChI=1S/C3H8O4/c1-5-2-6-3-7-4/h4H,2-3H2,1H3"
ETOMEOOH,"InChI=1S/C3H8O3/c1-2-5-3-6-4/h4H,2-3H2,1H3"
ETOMECO3H,"InChI=1S/C4H8O4/c1-2-7-3-4(5)8-6/h6H,2-3H2,1H3"
BOXMOOH,"InChI=1S/C5H12O3/c1-2-3-4-7-5-8-6/h6H,2-5H2,1H3"
EIPEOOH,"InChI=1S/C5H12O3/c1-4-7-5(2,3)8-6/h6H,4H2,1-3H3"
IPROC21OOH,"InChI=1S/C5H12O3/c1-4(2)7-5(3)8-6/h4-6H,1-3H3"
MTBEAOOH,"InChI=1S/C5H12O3/c1-5(2,3)7-4-8-6/h6H,4H2,1-3H3"
MTBEBCO3H,"InChI=1S/C5H10O4/c1-5(2,8-3)4(6)9-7/h7H,1-3H3"
MTBEBOOH,"InChI=1S/C5H12O3/c1-5(2,7-3)4-8-6/h6H,4H2,1-3H3"
BOXMCO3H,"InChI=1S/C6H12O4/c1-2-3-4-9-5-6(7)10-8/h8H,2-5H2,1H3"
DIIPRETOOH,"InChI=1S/C6H14O3/c1-5(2)8-6(3,4)9-7/h5,7H,1-4H3"
ETBEACO3H,"InChI=1S/C6H12O4/c1-4-9-6(2,3)5(7)10-8/h8H,4H2,1-3H3"
ETBEAOOH,"InChI=1S/C6H14O3/c1-4-8-6(2,3)5-9-7/h7H,4-5H2,1-3H3"
ETBEBOOH,"InChI=1S/C6H14O3/c1-5(9-7)8-6(2,3)4/h5,7H,1-4H3"
ETBECCO3H,"InChI=1S/C6H12O4/c1-6(2,3)9-4-5(7)10-8/h8H,4H2,1-3H3"
ETBECOOH,"InChI=1S/C6H14O3/c1-6(2,3)8-4-5-9-7/h7H,4-5H2,1-3H3"
IPROMC2OOH,"InChI=1S/C6H14O3/c1-5(2)9-6(3)4-8-7/h5-7H,4H2,1-3H3"
IPROMCCO3H,"InChI=1S/C6H12O4/c1-4(2)9-5(3)6(7)10-8/h4-5,8H,1-3H3"
BCSOZ,"InChI=1S/C15H24O3/c1-10-5-6-13-16-15(4,18-17-13)8-7-12-11(10)9-14(12,2)3/h11-13H,1,5-9H2,2-4H3"
MO2EOLAOOH,"InChI=1S/C3H8O4/c1-6-3(2-4)7-5/h3-5H,2H2,1H3"
MO2EOLBOOH,"InChI=1S/C3H8O4/c4-1-2-6-3-7-5/h4-5H,1-3H2"
EOX2OLAOOH,"InChI=1S/C4H10O4/c1-2-7-4(3-5)8-6/h4-6H,2-3H2,1H3"
EOX2OLBOOH,"InChI=1S/C4H10O4/c1-4(8-6)7-3-2-5/h4-6H,2-3H2,1H3"
H2C3OCOH,"InChI=1S/C4H10O3/c1-4(6)2-7-3-5/h4-6H,2-3H2,1H3"
H2C3OCOOH,"InChI=1S/C4H10O4/c1-4(5)2-7-3-8-6/h4-6H,2-3H2,1H3"
PR2OHMOOOH,"InChI=1S/C4H10O4/c1-3(5)4(7-2)8-6/h3-6H,1-2H3"
IEACO3H,"InChI=1S/C5H8O5/c1-5(7,3-2-9-3)4(6)10-8/h3,7-8H,2H2,1H3"
IECCO3H,"InChI=1S/C5H8O5/c1-5(2-9-5)3(6)4(7)10-8/h3,6,8H,2H2,1H3"
IEPOXA,"InChI=1S/C5H10O3/c1-5(7,3-6)4-2-8-4/h4,6-7H,2-3H2,1H3"
BOX2E2OH,"InChI=1S/C6H14O3/c1-2-3-4-9-6(8)5-7/h6-8H,2-5H2,1H3"
ETBEAOH,"InChI=1S/C6H14O2/c1-4-8-6(2,3)5-7/h7H,4-5H2,1-3H3"
BOXOHPROL,"InChI=1S/C7H16O3/c1-3-4-7(9)10-5-6(2)8/h6-9H,3-5H2,1-2H3"
BOXPOLAOOH,"InChI=1S/C7H16O4/c1-3-4-7(11-9)10-5-6(2)8/h6-9H,3-5H2,1-2H3"
BOXPOLBOOH,"InChI=1S/C7H16O4/c1-3-4-5-10-7(11-9)6(2)8/h6-9H,3-5H2,1-2H3"
BOXPR2OH,"InChI=1S/C7H16O3/c1-3-4-5-10-7(9)6(2)8/h6-9H,3-5H2,1-2H3"
BCSOZOH,"InChI=1S/C15H26O5/c1-13(2)8-11-10(13)4-6-14(3)18-12(19-20-14)5-7-15(11,17)9-16/h10-12,16-17H,4-9H2,1-3H3"
BCSOZOOH,"InChI=1S/C15H26O6/c1-13(2)8-11-10(13)4-6-14(3)18-12(19-21-14)5-7-15(11,9-16)20-17/h10-12,16-17H,4-9H2,1-3H3"
EPXDLCO3H,"InChI=1S/C4H4O5/c5-1-2-3(8-2)4(6)9-7/h1-3,7H"
EPXMC4DIAL,"InChI=1S/C5H6O3/c1-5(3-7)4(2-6)8-5/h2-4H,1H3"
EPXMDLCO3H,"InChI=1S/C5H6O5/c1-5(2-6)3(9-5)4(7)10-8/h2-3,8H,1H3"
BZEMUCCO3H,"InChI=1S/C6H6O5/c7-3-1-2-4-5(10-4)6(8)11-9/h1-5,9H"
BZEPOXMUC,InChI=1S/C6H6O3/c7-3-1-2-5-6(4-8)9-5/h1-6H
EPXM2C4DAL,"InChI=1S/C6H8O3/c1-5(3-7)6(2,4-8)9-5/h3-4H,1-2H3"
EPXM2DCO3H,"InChI=1S/C6H8O5/c1-5(3-7)6(2,11-5)4(8)10-9/h3,9H,1-2H3"
EPXMEC4DAL,"InChI=1S/C7H10O3/c1-3-7(5-9)6(2,4-8)10-7/h4-5H,3H2,1-2H3"
EPXMEDCO3H,"InChI=1S/C7H10O5/c1-3-7(4-8)6(2,12-7)5(9)11-10/h4,10H,3H2,1-2H3"
OXYEPOXMUC,"InChI=1S/C8H10O3/c1-7(4-3-5-9)8(2,6-10)11-7/h3-6H,1-2H3"
OXYMUCCO3H,"InChI=1S/C8H10O5/c1-7(4-3-5-9)8(2,13-7)6(10)12-11/h3-5,11H,1-2H3"
OETLMUCO3H,"InChI=1S/C9H12O5/c1-3-9(7(11)13-12)8(2,14-9)5-4-6-10/h4-6,12H,3H2,1-2H3"
OETLPOXMUC,"InChI=1S/C9H12O3/c1-3-9(7-11)8(2,12-9)5-4-6-10/h4-7H,3H2,1-2H3"
IEACHO,"InChI=1S/C5H8O3/c1-5(7,3-6)4-2-8-4/h3-4,7H,2H2,1H3"
IECCHO,"InChI=1S/C5H8O3/c1-5(3-8-5)4(7)2-6/h2,4,7H,3H2,1H3"
BZEMUCOH,"InChI=1S/C6H8O5/c7-1-3(9)5(10)6-4(2-8)11-6/h1-6,9-10H"
BZEMUCOOH,"InChI=1S/C6H8O6/c7-1-3(9)5(12-10)6-4(2-8)11-6/h1-6,9-10H"
OXYMUCOH,"InChI=1S/C8H12O5/c1-7(4-10)8(2,13-7)6(12)5(11)3-9/h3-6,11-12H,1-2H3"
OXYMUCOOH,"InChI=1S/C8H12O6/c1-7(4-10)8(2,14-7)6(11)5(3-9)13-12/h3-6,11-12H,1-2H3"
OETLMUCOH,"InChI=1S/C9H14O5/c1-3-9(5-11)8(2,14-9)7(13)6(12)4-10/h4-7,12-13H,3H2,1-2H3"
OETLMUCOOH,"InChI=1S/C9H14O6/c1-3-9(5-11)8(2,15-9)7(12)6(4-10)14-13/h4-7,12-13H,3H2,1-2H3"
EPXKTMCO3H,"InChI=1S/C6H8O5/c1-3(7)6(2)4(10-6)5(8)11-9/h4,9H,1-2H3"
EPXMKTCO3H,"InChI=1S/C6H8O5/c1-3(7)4-6(2,10-4)5(8)11-9/h4,9H,1-2H3"
BOXPROBOOH,"InChI=1S/C7H14O4/c1-3-4-5-10-7(11-9)6(2)8/h7,9H,3-5H2,1-2H3"
BOXPROOOH,"InChI=1S/C7H14O4/c1-3-4-7(11-9)10-5-6(2)8/h7,9H,3-5H2,1-2H3"
EPXEKTCO3H,"InChI=1S/C7H10O5/c1-3-7(6(9)12-10)5(11-7)4(2)8/h5,10H,3H2,1-2H3"
TLEMUCCO3H,"InChI=1S/C7H8O5/c1-4(8)2-3-5-6(11-5)7(9)12-10/h2-3,5-6,10H,1H3"
EBZMUCCO3H,"InChI=1S/C8H10O5/c1-2-5(9)3-4-6-7(12-6)8(10)13-11/h3-4,6-7,11H,2H2,1H3"
MXYMUCCO3H,"InChI=1S/C8H10O5/c1-5(9)3-4-6-8(2,12-6)7(10)13-11/h3-4,6,11H,1-2H3"
PXYMUCCO3H,"InChI=1S/C8H10O5/c1-5(9)3-4-8(2)6(12-8)7(10)13-11/h3-4,6,11H,1-2H3"
IPBZMUCO3H,"InChI=1S/C9H12O5/c1-5(2)6(10)3-4-7-8(13-7)9(11)14-12/h3-5,7-8,12H,1-2H3"
METLMUCO3H,"InChI=1S/C9H12O5/c1-3-6(10)4-5-7-9(2,13-7)8(11)14-12/h4-5,7,12H,3H2,1-2H3"
PBZMUCCO3H,"InChI=1S/C9H12O5/c1-2-3-6(10)4-5-7-8(13-7)9(11)14-12/h4-5,7-8,12H,2-3H2,1H3"
PETLMUCO3H,"InChI=1S/C9H12O5/c1-3-6(10)4-5-9(2)7(13-9)8(11)14-12/h4-5,7,12H,3H2,1-2H3"
TM123OXMUC,"InChI=1S/C9H12O3/c1-6(10)4-5-8-9(3,12-8)7(2)11/h4-5,8H,1-3H3"
TM124MUO3H,"InChI=1S/C9H12O5/c1-6(10)4-5-8(2)9(3,14-8)7(11)13-12/h4-5,12H,1-3H3"
TM135MUO3H,"InChI=1S/C9H12O5/c1-5(4-6(2)10)7-9(3,13-7)8(11)14-12/h4,7,12H,1-3H3"
DMEBMUO3H,"InChI=1S/C10H14O5/c1-4-7(11)5-6(2)8-10(3,14-8)9(12)15-13/h5,8,13H,4H2,1-3H3"
DETLMUO3H,"InChI=1S/C11H16O5/c1-4-8(12)6-7(3)9-11(5-2,15-9)10(13)16-14/h6,9,14H,4-5H2,1-3H3"
BCKSOZ,"InChI=1S/C14H22O4/c1-13(2)8-9-10(13)6-7-14(3)16-12(17-18-14)5-4-11(9)15/h9-10,12H,4-8H2,1-3H3"
BOXPRONBOH,"InChI=1S/C7H14O3/c1-3-4-5-10-7(9)6(2)8/h7,9H,3-5H2,1-2H3"
BOXPRONOH,"InChI=1S/C7H14O3/c1-3-4-7(9)10-5-6(2)8/h7,9H,3-5H2,1-2H3"
TM123MUCCO,"InChI=1S/C9H12O5/c1-4(10)6(12)7(13)8-9(3,14-8)5(2)11/h6,8,12H,1-3H3"
TM123MUCOH,"InChI=1S/C9H14O5/c1-4(10)6(12)7(13)8-9(3,14-8)5(2)11/h6-8,12-13H,1-3H3"
TM123MUOOH,"InChI=1S/C9H14O6/c1-4(10)6(12)7(15-13)8-9(3,14-8)5(2)11/h6-8,12-13H,1-3H3"
EPXALMKT,"InChI=1S/C6H8O3/c1-4(8)6(2)5(3-7)9-6/h3,5H,1-2H3"
EPXMALKT,"InChI=1S/C6H8O3/c1-4(8)5-6(2,3-7)9-5/h3,5H,1-2H3"
EPXEALKT,"InChI=1S/C7H10O3/c1-3-7(4-8)6(10-7)5(2)9/h4,6H,3H2,1-2H3"
EBZPOXMUC,"InChI=1S/C8H10O3/c1-2-6(10)3-4-7-8(5-9)11-7/h3-5,7-8H,2H2,1H3"
MXYEPOXMUC,"InChI=1S/C8H10O3/c1-6(10)3-4-7-8(2,5-9)11-7/h3-5,7H,1-2H3"
PXYEPOXMUC,"InChI=1S/C8H10O3/c1-6(10)3-4-8(2)7(5-9)11-8/h3-5,7H,1-2H3"
IPBZPOXMUC,"InChI=1S/C9H12O3/c1-6(2)7(11)3-4-8-9(5-10)12-8/h3-6,8-9H,1-2H3"
METLPOXMUC,"InChI=1S/C9H12O3/c1-3-7(11)4-5-8-9(2,6-10)12-8/h4-6,8H,3H2,1-2H3"
PBZPOXMUC,"InChI=1S/C9H12O3/c1-2-3-7(11)4-5-8-9(6-10)12-8/h4-6,8-9H,2-3H2,1H3"
PETLPOXMUC,"InChI=1S/C9H12O3/c1-3-7(11)4-5-9(2)8(6-10)12-9/h4-6,8H,3H2,1-2H3"
TM124OXMUC,"InChI=1S/C9H12O3/c1-7(11)4-5-8(2)9(3,6-10)12-8/h4-6H,1-3H3"
TM135OXMUC,"InChI=1S/C9H12O3/c1-6(4-7(2)11)8-9(3,5-10)12-8/h4-5,8H,1-3H3"
DMEBPOXMUC,"InChI=1S/C10H14O3/c1-4-8(12)5-7(2)9-10(3,6-11)13-9/h5-6,9H,4H2,1-3H3"
DETLPOXMUC,"InChI=1S/C11H16O3/c1-4-9(13)6-8(3)10-11(5-2,7-12)14-10/h6-7,10H,4-5H2,1-3H3"
BZEMUCCO,"InChI=1S/C6H6O5/c7-1-3(9)5(10)6-4(2-8)11-6/h1-4,6,9H"
TLEMUCCO,"InChI=1S/C7H8O5/c1-3(9)5(10)6(11)7-4(2-8)12-7/h2,4,6-7,11H,1H3"
TLEMUCOH,"InChI=1S/C7H10O5/c1-3(9)5(10)6(11)7-4(2-8)12-7/h2,4-7,10-11H,1H3"
TLEMUCOOH,"InChI=1S/C7H10O6/c1-3(9)6(13-11)5(10)7-4(2-8)12-7/h2,4-7,10-11H,1H3"
EBZMUCCO,"InChI=1S/C8H10O5/c1-2-4(10)6(11)7(12)8-5(3-9)13-8/h3,5,7-8,12H,2H2,1H3"
EBZMUCOH,"InChI=1S/C8H12O5/c1-2-4(10)6(11)7(12)8-5(3-9)13-8/h3,5-8,11-12H,2H2,1H3"
EBZMUCOOH,"InChI=1S/C8H12O6/c1-2-4(10)7(14-12)6(11)8-5(3-9)13-8/h3,5-8,11-12H,2H2,1H3"
MXYMUCCO,"InChI=1S/C8H10O5/c1-4(10)5(11)6(12)7-8(2,3-9)13-7/h3,6-7,12H,1-2H3"
MXYMUCOH,"InChI=1S/C8H12O5/c1-4(10)5(11)6(12)7-8(2,3-9)13-7/h3,5-7,11-12H,1-2H3"
MXYMUCOOH,"InChI=1S/C8H12O6/c1-4(10)6(14-12)5(11)7-8(2,3-9)13-7/h3,5-7,11-12H,1-2H3"
OXYMUCCO,"InChI=1S/C8H10O5/c1-7(4-10)8(2,13-7)6(12)5(11)3-9/h3-4,6,12H,1-2H3"
PXYMUCCO,"InChI=1S/C8H10O5/c1-4(10)6(11)7(12)8(2)5(3-9)13-8/h3,5,7,12H,1-2H3"
PXYMUCOH,"InChI=1S/C8H12O5/c1-4(10)6(11)7(12)8(2)5(3-9)13-8/h3,5-7,11-12H,1-2H3"
PXYMUCOOH,"InChI=1S/C8H12O6/c1-4(10)6(14-12)7(11)8(2)5(3-9)13-8/h3,5-7,11-12H,1-2H3"
IPBZMUCCO,"InChI=1S/C9H12O5/c1-4(2)6(11)7(12)8(13)9-5(3-10)14-9/h3-5,8-9,13H,1-2H3"
IPBZMUCOH,"InChI=1S/C9H14O5/c1-4(2)6(11)7(12)8(13)9-5(3-10)14-9/h3-5,7-9,12-13H,1-2H3"
IPBZMUCOOH,"InChI=1S/C9H14O6/c1-4(2)6(11)9(15-13)7(12)8-5(3-10)14-8/h3-5,7-9,12-13H,1-2H3"
METLMUCCO,"InChI=1S/C9H12O5/c1-3-5(11)6(12)7(13)8-9(2,4-10)14-8/h4,7-8,13H,3H2,1-2H3"
METLMUCOH,"InChI=1S/C9H14O5/c1-3-5(11)6(12)7(13)8-9(2,4-10)14-8/h4,6-8,12-13H,3H2,1-2H3"
METLMUCOOH,"InChI=1S/C9H14O6/c1-3-5(11)7(15-13)6(12)8-9(2,4-10)14-8/h4,6-8,12-13H,3H2,1-2H3"
OETLMUCCO,"InChI=1S/C9H12O5/c1-3-9(5-11)8(2,14-9)7(13)6(12)4-10/h4-5,7,13H,3H2,1-2H3"
PBZMUCCO,"InChI=1S/C9H12O5/c1-2-3-5(11)7(12)8(13)9-6(4-10)14-9/h4,6,8-9,13H,2-3H2,1H3"
PBZMUCOH,"InChI=1S/C9H14O5/c1-2-3-5(11)7(12)8(13)9-6(4-10)14-9/h4,6-9,12-13H,2-3H2,1H3"
PBZMUCOOH,"InChI=1S/C9H14O6/c1-2-3-5(11)8(15-13)7(12)9-6(4-10)14-9/h4,6-9,12-13H,2-3H2,1H3"
PETLMUCCO,"InChI=1S/C9H12O5/c1-3-5(11)7(12)8(13)9(2)6(4-10)14-9/h4,6,8,13H,3H2,1-2H3"
PETLMUCOH,"InChI=1S/C9H14O5/c1-3-5(11)7(12)8(13)9(2)6(4-10)14-9/h4,6-8,12-13H,3H2,1-2H3"
PETLMUCOOH,"InChI=1S/C9H14O6/c1-3-5(11)7(15-13)8(12)9(2)6(4-10)14-9/h4,6-8,12-13H,3H2,1-2H3"
TM124MUCCO,"InChI=1S/C9H12O5/c1-5(11)6(12)7(13)9(3)8(2,4-10)14-9/h4,6,12H,1-3H3"
TM124MUCOH,"InChI=1S/C9H14O5/c1-5(11)6(12)7(13)9(3)8(2,4-10)14-9/h4,6-7,12-13H,1-3H3"
TM124MUOOH,"InChI=1S/C9H14O6/c1-5(11)6(12)7(14-13)9(3)8(2,4-10)15-9/h4,6-7,12-13H,1-3H3"
TM135MUOH,"InChI=1S/C9H14O5/c1-5(11)6(12)9(3,13)7-8(2,4-10)14-7/h4,6-7,12-13H,1-3H3"
TM135MUOOH,"InChI=1S/C9H14O6/c1-5(11)6(12)9(3,15-13)7-8(2,4-10)14-7/h4,6-7,12-13H,1-3H3"
DMEBMUOH,"InChI=1S/C10H16O5/c1-4-6(12)7(13)10(3,14)8-9(2,5-11)15-8/h5,7-8,13-14H,4H2,1-3H3"
DMEBMUOOH,"InChI=1S/C10H16O6/c1-4-6(12)7(13)10(3,16-14)8-9(2,5-11)15-8/h5,7-8,13-14H,4H2,1-3H3"
DETLMUOH,"InChI=1S/C11H18O5/c1-4-7(13)8(14)10(3,15)9-11(5-2,6-12)16-9/h6,8-9,14-15H,4-5H2,1-3H3"
DETLMUOOH,"InChI=1S/C11H18O6/c1-4-7(13)8(14)10(3,17-15)9-11(5-2,6-12)16-9/h6,8-9,14-15H,4-5H2,1-3H3"
EPXDLCO2H,"InChI=1S/C4H4O4/c5-1-2-3(8-2)4(6)7/h1-3H,(H,6,7)"
EPXMDLCO2H,"InChI=1S/C5H6O4/c1-5(2-6)3(9-5)4(7)8/h2-3H,1H3,(H,7,8)"
BZEMUCCO2H,"InChI=1S/C6H6O4/c7-3-1-2-4-5(10-4)6(8)9/h1-5H,(H,8,9)"
EPXM2DCO2H,"InChI=1S/C6H8O4/c1-5(3-7)6(2,10-5)4(8)9/h3H,1-2H3,(H,8,9)"
EPXMEDCO2H,"InChI=1S/C7H10O4/c1-3-7(4-8)6(2,11-7)5(9)10/h4H,3H2,1-2H3,(H,9,10)"
OXYMUCCO2H,"InChI=1S/C8H10O4/c1-7(4-3-5-9)8(2,12-7)6(10)11/h3-5H,1-2H3,(H,10,11)"
OETLMUCO2H,"InChI=1S/C9H12O4/c1-3-9(7(11)12)8(2,13-9)5-4-6-10/h4-6H,3H2,1-2H3,(H,11,12)"
EPXKTMCO2H,"InChI=1S/C6H8O4/c1-3(7)6(2)4(10-6)5(8)9/h4H,1-2H3,(H,8,9)"
EPXMKTCO2H,"InChI=1S/C6H8O4/c1-3(7)4-6(2,10-4)5(8)9/h4H,1-2H3,(H,8,9)"
EPXEKTCO2H,"InChI=1S/C7H10O4/c1-3-7(6(9)10)5(11-7)4(2)8/h5H,3H2,1-2H3,(H,9,10)"
TLEMUCCO2H,"InChI=1S/C7H8O4/c1-4(8)2-3-5-6(11-5)7(9)10/h2-3,5-6H,1H3,(H,9,10)"
EBZMUCCO2H,"InChI=1S/C8H10O4/c1-2-5(9)3-4-6-7(12-6)8(10)11/h3-4,6-7H,2H2,1H3,(H,10,11)"
MXYMUCCO2H,"InChI=1S/C8H10O4/c1-5(9)3-4-6-8(2,12-6)7(10)11/h3-4,6H,1-2H3,(H,10,11)"
PXYMUCCO2H,"InChI=1S/C8H10O4/c1-5(9)3-4-8(2)6(12-8)7(10)11/h3-4,6H,1-2H3,(H,10,11)"
IPBZMUCO2H,"InChI=1S/C9H12O4/c1-5(2)6(10)3-4-7-8(13-7)9(11)12/h3-5,7-8H,1-2H3,(H,11,12)"
METLMUCO2H,"InChI=1S/C9H12O4/c1-3-6(10)4-5-7-9(2,13-7)8(11)12/h4-5,7H,3H2,1-2H3,(H,11,12)"
PBZMUCCO2H,"InChI=1S/C9H12O4/c1-2-3-6(10)4-5-7-8(13-7)9(11)12/h4-5,7-8H,2-3H2,1H3,(H,11,12)"
PETLMUCO2H,"InChI=1S/C9H12O4/c1-3-6(10)4-5-9(2)7(13-9)8(11)12/h4-5,7H,3H2,1-2H3,(H,11,12)"
TM124MUO2H,"InChI=1S/C9H12O4/c1-6(10)4-5-8(2)9(3,13-8)7(11)12/h4-5H,1-3H3,(H,11,12)"
TM135MUO2H,"InChI=1S/C9H12O4/c1-5(4-6(2)10)7-9(3,13-7)8(11)12/h4,7H,1-3H3,(H,11,12)"
DMEBMUO2H,"InChI=1S/C10H14O4/c1-4-7(11)5-6(2)8-10(3,14-8)9(12)13/h5,8H,4H2,1-3H3,(H,12,13)"
DETLMUO2H,"InChI=1S/C11H16O4/c1-4-8(12)6-7(3)9-11(5-2,15-9)10(13)14/h6,9H,4-5H2,1-3H3,(H,13,14)"
DMCOOH,"InChI=1S/C3H6O5/c1-6-3(4)7-2-8-5/h5H,2H2,1H3"
MMFOOH,"InChI=1S/C3H6O5/c1-6-3(8-5)7-2-4/h2-3,5H,1H3"
MMFOH,"InChI=1S/C3H6O4/c1-6-3(5)7-2-4/h2-3,5H,1H3"
ETHO2HNO3,"InChI=1S/C2H5NO5/c4-3(5)7-1-2-8-6/h6H,1-2H2"
NO3CH2CO3H,"InChI=1S/C2H3NO6/c4-2(9-7)1-8-3(5)6/h7H,1H2"
NO3CH2PAN,InChI=1S/C2H2N2O8/c5-2(1-10-3(6)7)11-12-4(8)9/h1H2
PR1O2HNO3,"InChI=1S/C3H7NO5/c1-3(2-8-7)9-4(5)6/h3,7H,2H2,1H3"
PR2O2HNO3,"InChI=1S/C3H7NO5/c1-3(9-7)2-8-4(5)6/h3,7H,2H2,1H3"
PRNO3CO3H,"InChI=1S/C3H5NO6/c1-2(3(5)10-8)9-4(6)7/h2,8H,1H3"
PRNO3PAN,"InChI=1S/C3H4N2O8/c1-2(11-4(7)8)3(6)12-13-5(9)10/h2H,1H3"
BU1ENO3OOH,"InChI=1S/C4H9NO5/c1-2-4(10-8)3-9-5(6)7/h4,8H,2-3H2,1H3"
C3DBPAN,"InChI=1S/C4H5NO5/c1-2-3-4(6)9-10-5(7)8/h2-3H,1H3"
C43NO34OOH,"InChI=1S/C4H9NO5/c1-2-4(3-9-8)10-5(6)7/h4,8H,2-3H2,1H3"
C4PAN9,"InChI=1S/C4H4N2O8/c7-4(13-14-6(10)11)2-1-3-12-5(8)9/h1-2H,3H2"
MPRANO3OOH,"InChI=1S/C4H9NO5/c1-4(2,10-8)3-9-5(6)7/h8H,3H2,1-2H3"
MPRBNO3OOH,"InChI=1S/C4H9NO5/c1-4(2,3-9-8)10-5(6)7/h8H,3H2,1-2H3"
MPRBNO3PAN,"InChI=1S/C4H6N2O8/c1-4(2,13-5(8)9)3(7)12-14-6(10)11/h1-2H3"
MPRNO3CO3H,"InChI=1S/C4H7NO6/c1-4(2,3(6)10-9)11-5(7)8/h9H,1-2H3"
NBUTDAOOH,"InChI=1S/C4H7NO5/c1-2-4(10-8)3-9-5(6)7/h2,4,8H,1,3H2"
NBUTDBOOH,"InChI=1S/C4H7NO5/c6-5(7)9-3-1-2-4-10-8/h1-2,8H,3-4H2"
NC3CO3H,"InChI=1S/C4H5NO6/c6-4(11-9)2-1-3-10-5(7)8/h1-2,9H,3H2"
C3ME3PAN,"InChI=1S/C5H9NO5/c1-4(2)3-5(7)10-11-6(8)9/h4H,3H2,1-2H3"
C3MNO3CO3H,"InChI=1S/C5H9NO6/c1-3(2)4(5(7)12-10)11-6(8)9/h3-4,10H,1-2H3"
C3MNO3PAN,"InChI=1S/C5H8N2O8/c1-3(2)4(13-6(9)10)5(8)14-15-7(11)12/h3-4H,1-2H3"
C43NO3CO3H,"InChI=1S/C5H9NO6/c1-3-5(2,4(7)11-10)12-6(8)9/h10H,3H2,1-2H3"
C43NO3PAN,"InChI=1S/C5H8N2O8/c1-3-5(2,14-6(9)10)4(8)13-15-7(11)12/h3H2,1-2H3"
C4M2NO3OOH,"InChI=1S/C5H11NO5/c1-4(10-6(7)8)5(2,3)11-9/h4,9H,1-3H3"
