Compound,SMILES,InChI,logS,Temperature,logS-dataSource,HenryConstant,HenryConstant-dataSource,nIsomers
MCM:M22C3CO3H,O,InChI=1S/H2O/h1H2,,25.0,,13.840333333333334,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:M22C43OOH,O,InChI=1S/H2O/h1H2,,25.0,,2.0,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:M22C4OOH,O,InChI=1S/H2O/h1H2,,25.0,,2.8666666666666667,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:M23C43OOH,O,InChI=1S/H2O/h1H2,,25.0,,1.9000000000000004,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:M23C4OOH,O,InChI=1S/H2O/h1H2,,25.0,,3.1,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:M2C43CO3H,O,InChI=1S/H2O/h1H2,,25.0,,23.273,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:M2PEAOOH,O,InChI=1S/H2O/h1H2,,25.0,,2.6,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:M2PEBOOH,O,InChI=1S/H2O/h1H2,,25.0,,2.9,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:M2PECOOH,O,InChI=1S/H2O/h1H2,,25.0,,2.533333333333333,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:M2PEDOOH,O,InChI=1S/H2O/h1H2,,25.0,,1.7,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:M33C3CO3H,O,InChI=1S/H2O/h1H2,,25.0,,13.763,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:M33C4OOH,O,InChI=1S/H2O/h1H2,,25.0,,2.1666666666666665,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:M3C4CO3H,O,InChI=1S/H2O/h1H2,,25.0,,19.241000000000003,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:M3PEAOOH,O,InChI=1S/H2O/h1H2,,25.0,,2.9333333333333336,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:M3PEBOOH,O,InChI=1S/H2O/h1H2,,25.0,,2.966666666666667,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:M3PECOOH,O,InChI=1S/H2O/h1H2,,25.0,,1.626666666666667,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:C6H13CO3H,O,InChI=1S/H2O/h1H2,,25.0,,15.040666666666668,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:HEPTOOH,O,InChI=1S/H2O/h1H2,,25.0,,1.8766666666666667,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:M2HEXAOOH,O,InChI=1S/H2O/h1H2,,25.0,,2.5,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:M2HEXBOOH,O,InChI=1S/H2O/h1H2,,25.0,,1.42,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:M3HEXAOOH,O,InChI=1S/H2O/h1H2,,25.0,,2.2333333333333334,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:M3HEXBOOH,O,InChI=1S/H2O/h1H2,,25.0,,1.4266666666666667,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:C8BCOOH,O,InChI=1S/H2O/h1H2,,25.0,,15.133333333333333,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:OCTOOH,O,InChI=1S/H2O/h1H2,,25.0,,1.6266666666666667,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:NONOOH,O,InChI=1S/H2O/h1H2,,25.0,,1.4633333333333336,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:DECOOH,O,InChI=1S/H2O/h1H2,,25.0,,1.3099999999999998,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:UDECOOH,O,InChI=1S/H2O/h1H2,,25.0,,1.07,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:DDECOOH,O,InChI=1S/H2O/h1H2,,25.0,,0.97,https://doi.org/10.5194/acp-23-10901-2023,1
